File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test,2,112,535,18635,908,0.0507,7.8777,0.0771,0.0902
test,2,108,538,18007,919,0.0581,8.7164,0.0768,0.0883
test,2,92,1441,12290,361,0.0286,3.7788,0.0295,0.0534
test,2,133,1751,27642,856,0.0841,19.0703,0.1135,0.09
test,2,144,680,24889,788,0.0863,17.9329,0.1107,0.1138
test,2,107,460,15952,797,0.0478,7.4335,0.0775,0.0637
test,2,127,981,31135,1568,0.1625,31.6388,0.2825,0.1113
test,2,98,1307,19598,984,0.1194,11.2809,0.1564,0.1369
test,2,122,1454,32707,1663,0.1834,36.8997,0.2514,0.1006
test,2,89,1339,11856,364,0.0209,3.4048,0.0265,0.0365
test,2,122,1662,34941,1604,0.1719,31.7264,0.2306,0.1237
test,2,114,1294,18506,514,0.0313,7.5798,0.0452,0.0668
test,2,132,1947,28660,890,0.0761,20.4216,0.0897,0.0789
test,2,114,1949,33467,1592,0.18,29.541,0.2488,0.0698
test,2,96,822,16734,840,0.0504,6.3273,0.0715,0.0686
test,2,115,487,14882,488,0.0334,5.2187,0.0416,0.0688
test,2,103,1713,24147,1192,0.1025,14.8967,0.1447,0.0991
test,2,117,1644,33457,1677,0.2307,28.0814,0.2786,0.108
test,2,111,1819,19173,566,0.0375,13.8264,0.0473,0.0898
test,2,147,779,26363,818,0.054,14.9715,0.1099,0.0741
test,2,119,1599,31861,1599,0.6211,29.3209,0.8919,0.2216
test,2,123,1033,20757,648,0.0387,11.0481,0.0576,0.0369
test,2,107,569,13261,437,0.0201,3.7556,0.0297,0.0523
test,2,147,1646,34510,1083,0.0998,24.3395,0.1505,0.0671
test,2,98,1633,15947,477,0.0491,6.0897,0.0454,0.0641
test,2,128,890,30166,1540,0.1346,20.7137,0.1921,0.1026
test,2,147,1014,29379,919,0.0639,17.0679,0.0942,0.0524
test,2,142,852,37243,1909,0.1951,27.0956,0.2811,0.1
test,2,149,912,41493,2053,0.2203,32.6201,0.3412,0.1072
test,2,95,1262,18945,965,0.0646,7.3927,0.0916,0.0536
test,2,118,1792,33562,1604,0.1633,22.6529,0.2475,0.0959
test,2,90,1536,17227,865,0.0527,6.171,0.0738,0.0645
test,2,93,1986,14363,445,0.0264,4.4926,0.0324,0.0758
test,2,140,941,35794,1712,0.1774,25.7231,0.2519,0.1154
test,2,82,1279,9409,292,0.0215,2.6831,0.0376,0.0689
test,2,132,1666,38910,1896,0.2225,47.1709,0.3179,0.1252
test,2,126,922,29877,1493,0.1539,21.1069,0.2417,0.1041
test,2,112,1915,30915,1502,0.1399,19.801,0.2083,0.089
test,2,80,1250,12049,598,0.0282,2.9779,0.0536,0.0534
test,2,89,693,14188,715,0.0365,4.4387,0.051,0.0585
test,2,101,1680,24814,1182,0.133,15.3889,0.1854,0.0979
test,2,131,1732,39109,1835,0.2183,39.544,0.3176,0.0814
test,2,143,604,24668,775,0.0533,17.0467,0.1018,0.0736
test,2,115,877,16617,509,0.0334,6.9516,0.0393,0.0766
test,2,140,799,33950,1625,0.157,29.3179,0.2224,0.0923
test,2,115,1929,32437,1560,0.161,35.5186,0.2222,0.0675
test,2,150,888,29069,943,0.0671,21.9776,0.0988,0.0805
test,2,108,1181,15586,479,0.0338,6.5289,0.0412,0.0443
test,2,89,882,15019,765,0.0447,5.9379,0.0726,0.0578
test,2,140,1318,28040,799,0.0685,18.9849,0.0792,0.0786
test,2,111,1914,30205,1495,0.1496,20.0982,0.2131,0.0612
test,2,118,643,16999,555,0.0335,6.028,0.0444,0.0309
test,2,147,525,23525,717,0.0519,11.8288,0.099,0.0454
test,2,124,880,27641,1329,0.1075,15.8367,0.1595,0.0818
test,2,122,1087,20710,668,0.0546,9.108,0.0576,0.0671
test,2,140,426,20468,681,0.0334,9.7727,0.0561,0.0648
test,2,137,589,21288,617,0.0344,8.8659,0.0503,0.0658
test,2,134,1402,39594,1967,0.2264,30.5093,0.3202,0.1075
