File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0472,2,14,40,3640,3549,0.0494,0.5448,0.7437,0.0197
test0345,2,22,62,14322,14091,0.5209,4.0713,4.5232,0.0615
test0971,2,36,46,28980,28350,1.021,16.223,18.3657,0.3422
test1451,2,38,42,29526,28823,1.0105,18.0912,20.7427,0.1127
test0300,2,24,96,26496,26220,1.3123,8.7878,9.4347,0.2696
test0427,2,21,56,11760,11550,0.3109,3.1963,3.3478,0.0481
test1293,2,37,40,26640,25974,0.8525,15.3902,17.2624,0.3059
test1392,2,32,58,28768,28272,1.129,13.8937,15.3899,0.3247
test0797,2,11,53,2915,2860,0.0478,0.3011,0.4974,0.0169
test0763,2,14,57,5187,5096,0.093,0.775,0.8107,0.0526
test0571,2,16,64,7680,7560,0.1793,1.4163,1.5093,0.138
test0221,2,16,56,6720,6600,0.2158,1.2449,1.3141,0.0365
test0758,2,13,48,3744,3666,0.0563,0.4864,0.5097,0.0208
test0620,2,23,80,20240,19987,0.9304,6.0266,6.5715,0.0845
test1046,2,34,53,29733,29172,1.4833,15.9164,18.4474,0.5401
test0721,2,25,95,28500,28200,1.4197,9.5652,10.3919,0.2891
test0871,2,33,44,23232,22704,0.7141,11.2789,12.5189,0.257
test0018,2,10,79,3555,3510,0.0694,0.3603,0.3586,0.0151
test1007,2,30,67,29145,28710,1.2217,12.8395,14.3077,0.1116
test1236,2,30,61,26535,26100,1.0303,11.5186,12.7867,0.2857
test0806,2,23,92,23276,23023,1.082,6.9567,7.4021,0.2566
test0267,2,22,49,11319,11088,0.2692,3.2411,3.4268,0.0432
test1023,2,37,40,26640,25974,0.8522,15.0652,17.2065,0.1271
test0219,2,33,40,21120,20592,0.7604,10.2577,11.3107,0.085
test0397,2,21,91,19110,18900,0.7969,5.1322,5.4788,0.0725
test1008,2,34,53,29733,29172,1.1302,15.367,16.9197,0.3299
test0415,2,20,51,9690,9500,0.2141,2.5398,2.4733,0.0377
test0356,2,13,93,7254,7176,0.1996,1.0422,0.9959,0.0615
test1261,2,30,61,26535,26100,1.0339,11.32,12.5697,0.2822
test0678,2,29,69,28014,27608,1.1558,11.3867,12.4338,0.2957
test1121,2,32,42,20832,20336,0.6054,9.8174,10.6978,0.2215
test0077,2,24,40,11040,10764,0.2368,3.4017,3.643,0.2573
test1031,2,31,63,29295,28830,1.2043,13.0014,14.6141,0.309
test1077,2,32,55,27280,26784,1.0085,12.9111,14.5463,0.297
test0007,2,31,54,25110,24645,0.8907,11.325,12.3067,0.2651
test0829,2,29,43,17458,17052,0.576,7.021,7.4947,0.0622
test1118,2,34,53,29733,29172,1.1081,15.2165,17.2297,0.119
