File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet1102,2,62,10,11178,7971,0.071,4.5124,4.0073,0.0289
rollernet1606,2,62,7,8882,6415,0.0453,3.8424,3.7125,0.0223
rollernet2691,2,62,4,6151,4175,0.0209,2.6681,2.469,0.0149
rollernet3211,2,62,4,5473,3537,0.0183,1.99,1.9579,0.0134
rollernet2429,2,62,5,6700,4622,0.025,2.8544,2.6531,0.027
rollernet3496,2,62,3,4989,3079,0.0115,1.5378,1.5049,0.0146
rollernet1835,2,62,6,8234,5908,0.0376,3.6103,3.5365,0.0216
rollernet1233,2,62,9,10380,7364,0.0669,4.1225,3.9148,0.0258
rollernet3503,2,62,3,4993,3085,0.0114,1.5295,1.5064,0.1917
rollernet3029,2,62,4,5879,3934,0.02,2.2774,2.2871,0.021
rollernet1193,2,62,9,10779,7795,0.0684,4.444,4.235,0.0286
rollernet1636,2,62,7,8718,6275,0.0448,3.748,3.6481,0.0294
rollernet2020,2,62,5,7395,5240,0.0281,3.2189,3.0446,0.0191
rollernet2137,2,62,5,7332,5186,0.2001,3.0066,3.0434,0.0198
rollernet1028,2,62,10,11612,8200,0.2102,4.4126,3.9516,0.0354
rollernet1150,2,62,9,10926,7857,0.0652,4.3006,4.205,0.1918
rollernet1551,2,62,7,9155,6612,0.0462,3.7428,3.7515,0.2022
rollernet1514,2,62,7,9252,6662,0.2049,3.7729,3.763,0.0221
rollernet1047,2,62,10,11446,7992,0.2289,4.2554,3.7841,0.0273
rollernet3529,2,62,3,4995,3087,0.0115,1.5478,1.5184,0.0116
rollernet1907,2,62,6,7972,5697,0.0359,3.5222,3.5415,0.0276
rollernet2976,2,62,4,5966,4019,0.0204,2.3541,2.3574,0.1303
rollernet2412,2,62,5,6791,4704,0.0248,2.7324,2.7187,0.0186
rollernet2272,2,62,5,7179,5068,0.0276,3.0755,2.9686,0.0221
rollernet2347,2,62,5,6999,4900,0.026,2.834,2.8579,0.1654
rollernet2867,2,62,4,6048,4093,0.0218,2.4043,2.4207,0.018
