File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
rollernet3222,2,62,4,5419,244,3484,57,60,60,59
rollernet2804,2,62,4,6080,246,4119,58,60,61,60
rollernet3521,2,62,3,4994,185,3086,31,30,31,31
rollernet1906,2,62,6,7971,368,5691,81,90,90,77
rollernet2331,2,62,5,7042,306,4939,61,61,61,71
rollernet1924,2,62,6,7928,367,5676,81,90,89,79
rollernet2758,2,62,4,6126,246,4161,57,60,60,60
rollernet1504,2,62,7,9278,430,6684,89,90,91,105
rollernet2466,2,62,5,6545,304,4481,60,61,61,72
rollernet2639,2,62,4,6194,246,4210,58,60,61,51
rollernet3324,2,62,4,4996,206,3085,38,38,39,39
rollernet2467,2,62,5,6539,304,4475,60,61,61,70
rollernet2771,2,62,4,6110,246,4144,57,61,60,60
rollernet1201,2,62,9,10722,546,7719,117,119,121,133
rollernet2333,2,62,5,7039,306,4937,61,61,61,71
rollernet1798,2,62,6,8329,369,5981,76,90,90,83
rollernet2110,2,62,5,7330,307,5170,61,61,61,74
rollernet1671,2,62,6,8455,369,6086,77,89,91,96
rollernet2868,2,62,4,6048,245,4093,58,60,61,59
rollernet1655,2,62,7,8556,422,6149,88,90,92,95
rollernet2688,2,62,4,6156,246,4180,57,59,59,47
rollernet2143,2,62,5,7323,307,5177,61,61,61,62
rollernet1684,2,62,6,8433,369,6062,77,89,91,94
rollernet1788,2,62,6,8345,369,5995,78,89,90,80
rollernet2031,2,62,5,7387,307,5225,61,61,60,72
rollernet2094,2,62,5,7339,307,5183,61,61,61,75
rollernet1060,2,62,10,11321,608,7847,125,145,121,158
rollernet1556,2,62,7,9130,429,6600,89,89,90,105
rollernet2690,2,62,4,6152,246,4176,57,60,60,47
rollernet2055,2,62,5,7371,307,5209,61,60,60,70
rollernet3575,2,62,3,4995,185,3088,31,30,31,31
rollernet2497,2,62,4,6266,247,4233,57,61,61,53
rollernet1368,2,62,8,9896,486,7196,107,116,116,112
rollernet1673,2,62,6,8450,369,6079,77,89,91,96
rollernet2257,2,62,5,7211,307,5097,61,61,60,61
rollernet1263,2,62,8,10094,487,7123,105,118,119,121
rollernet1571,2,62,7,9068,428,6559,90,89,90,104
rollernet3026,2,62,4,5880,245,3934,58,58,60,60
rollernet2624,2,62,4,6201,246,4212,58,60,60,53
rollernet1452,2,62,7,9422,427,6825,89,90,90,108
rollernet1679,2,62,6,8437,369,6064,77,89,91,95
rollernet1166,2,62,9,10900,546,7882,114,121,118,130
rollernet2619,2,62,4,6203,246,4214,58,60,60,53
rollernet2958,2,62,4,5993,245,4047,58,60,61,59
rollernet2297,2,62,5,7120,306,5013,61,61,61,73
rollernet3173,2,62,4,5570,244,3636,57,60,60,58
rollernet2859,2,62,4,6056,246,4100,58,60,61,59
rollernet2397,2,62,5,6864,306,4779,61,61,61,74
rollernet2024,2,62,5,7388,307,5228,61,61,60,69
rollernet3127,2,62,4,5693,244,3764,56,60,60,58
rollernet1322,2,62,8,10040,486,7249,104,117,119,124
rollernet3463,2,62,3,4988,185,3078,31,30,31,31
rollernet2186,2,62,5,7335,307,5212,61,61,61,61
rollernet1254,2,62,8,10095,487,7097,102,117,117,124
rollernet1583,2,62,7,9025,428,6535,90,90,90,106
rollernet2707,2,62,4,6147,246,4172,57,60,60,60
rollernet1998,2,62,5,7414,307,5254,61,61,61,70
rollernet1048,2,62,10,11435,608,7982,126,145,120,146
rollernet3410,2,62,3,4981,185,3074,31,30,31,31
rollernet2588,2,62,4,6226,247,4219,58,61,61,47
rollernet1224,2,62,9,10479,545,7466,116,119,120,132
rollernet2718,2,62,4,6147,246,4181,57,61,61,60
rollernet2059,2,62,5,7365,307,5202,61,61,60,68
rollernet2510,2,62,4,6269,247,4248,57,60,60,48
rollernet3476,2,62,3,4990,185,3080,31,30,31,31
rollernet2465,2,62,5,6545,304,4481,60,61,61,72
rollernet1953,2,62,6,7757,365,5537,80,89,89,79
rollernet2015,2,62,5,7396,307,5239,61,61,61,71
rollernet1657,2,62,7,8528,420,6127,88,90,92,97
rollernet1238,2,62,9,10304,542,7288,114,119,118,129
rollernet3536,2,62,3,4995,185,3087,31,30,31,31
rollernet2370,2,62,5,6935,306,4842,61,61,61,72
rollernet3126,2,62,4,5694,244,3764,56,60,60,58
rollernet1282,2,62,8,10068,487,7138,107,116,118,120
rollernet3491,2,62,3,4988,185,3078,31,30,31,31
rollernet2002,2,62,5,7406,307,5247,61,61,61,68
rollernet2337,2,62,5,7030,306,4932,61,61,61,70
rollernet3366,2,62,3,4980,185,3072,31,30,31,31
rollernet1388,2,62,8,9723,486,7027,108,116,116,113
rollernet1579,2,62,7,9039,428,6550,90,89,90,110
rollernet1860,2,62,6,8139,368,5816,76,90,90,82
rollernet1432,2,62,7,9405,427,6793,89,90,89,104
rollernet3478,2,62,3,4988,185,3077,31,30,31,31
rollernet1886,2,62,6,8042,368,5745,80,90,90,76
rollernet1301,2,62,8,10034,486,7151,110,116,117,126
rollernet1394,2,62,8,9689,485,7003,102,116,116,113
rollernet1232,2,62,9,10381,544,7363,114,120,119,135
rollernet2637,2,62,4,6197,246,4213,58,60,61,51
rollernet2306,2,62,5,7097,306,4994,61,61,61,71
rollernet3514,2,62,3,4993,185,3085,31,30,31,31
rollernet1426,2,62,7,9399,428,6772,89,90,90,103
rollernet3599,2,62,3,5000,185,3094,31,30,31,31
rollernet3352,2,62,3,4980,185,3072,31,30,31,31
rollernet3354,2,62,3,4980,185,3072,31,30,31,31
rollernet2321,2,62,5,7073,306,4971,61,61,61,71
rollernet3558,2,62,3,4993,185,3086,31,30,31,31
rollernet1236,2,62,9,10334,543,7316,114,118,119,132
rollernet1881,2,62,6,8058,368,5762,81,90,90,82
rollernet3351,2,62,3,4980,185,3072,31,30,31,31
rollernet2632,2,62,4,6198,246,4213,58,60,61,51
rollernet1160,2,62,9,10915,546,7872,115,119,119,131
rollernet1969,2,62,6,7690,365,5494,80,88,88,78
rollernet3217,2,62,4,5441,244,3505,57,60,60,58
rollernet3338,2,62,3,4979,185,3070,31,30,31,31
rollernet2611,2,62,4,6218,246,4229,58,60,61,51
rollernet1287,2,62,8,10039,487,7111,103,116,118,121
rollernet2145,2,62,5,7324,307,5180,61,61,61,62
rollernet2413,2,62,5,6783,306,4696,61,61,61,71
rollernet2759,2,62,4,6126,246,4160,57,60,60,60
rollernet1377,2,62,8,9824,486,7116,106,116,116,110
rollernet1041,2,62,10,11510,608,8076,127,143,120,141
rollernet1479,2,62,7,9366,428,6760,88,91,91,109
rollernet1269,2,62,8,10089,487,7133,106,118,119,126
rollernet1034,2,62,10,11592,608,8185,128,148,119,140
rollernet2526,2,62,4,6260,247,4240,57,61,61,48
rollernet3479,2,62,3,4987,185,3076,31,30,31,31
rollernet1519,2,62,7,9223,430,6628,89,90,90,105
rollernet3265,2,62,4,5307,243,3383,58,59,59,58
rollernet3550,2,62,3,4995,185,3088,31,30,31,31
rollernet2300,2,62,5,7106,306,5001,61,61,61,72
rollernet1972,2,62,6,7672,364,5480,80,87,87,79
rollernet3418,2,62,3,4983,185,3076,31,30,31,31
rollernet3539,2,62,3,4995,185,3087,31,30,31,31
rollernet2830,2,62,4,6072,246,4115,58,60,61,60
rollernet2335,2,62,5,7038,306,4939,61,61,61,70
rollernet1349,2,62,8,9939,486,7200,108,116,118,119
rollernet3545,2,62,3,4995,185,3088,31,30,31,31
rollernet1893,2,62,6,7999,368,5704,80,90,90,75
rollernet3073,2,62,4,5796,244,3863,58,59,60,59
rollernet3059,2,62,4,5827,245,3890,58,59,60,59
rollernet2117,2,62,5,7334,307,5185,61,61,60,75
rollernet1528,2,62,7,9221,430,6646,89,91,91,105
rollernet1223,2,62,9,10487,545,7468,116,119,120,135
rollernet1090,2,62,10,11292,607,8036,123,143,121,155
rollernet1682,2,62,6,8441,369,6070,77,89,91,94
rollernet2936,2,62,4,5996,245,4049,58,59,60,59
rollernet3007,2,62,4,5912,245,3962,58,59,61,60
rollernet3170,2,62,4,5581,244,3649,57,60,60,58
rollernet2894,2,62,4,6036,245,4085,58,59,60,59
rollernet3561,2,62,3,4994,185,3087,31,30,31,31
rollernet1819,2,62,6,8295,369,5962,74,89,91,83
rollernet2470,2,62,5,6526,304,4467,60,59,60,70
rollernet3397,2,62,3,4983,185,3076,31,30,31,31
rollernet2873,2,62,4,6047,245,4090,58,60,61,59
rollernet1575,2,62,7,9046,428,6547,90,89,89,107
rollernet3373,2,62,3,4982,185,3075,31,30,31,31
rollernet1794,2,62,6,8333,369,5984,76,90,91,85
rollernet1033,2,62,10,11606,608,8205,128,147,118,158
rollernet1643,2,62,7,8669,426,6230,88,90,92,96
rollernet2019,2,62,5,7396,307,5241,61,61,61,68
rollernet2206,2,62,5,7308,307,5190,61,61,61,62
rollernet2761,2,62,4,6123,246,4157,57,59,60,60
rollernet2959,2,62,4,5989,245,4043,58,60,61,59
rollernet1013,2,62,10,11653,608,8222,135,145,121,155
rollernet2426,2,62,5,6718,306,4639,61,61,61,68
rollernet2602,2,62,4,6225,246,4231,58,60,61,50
rollernet2592,2,62,4,6227,247,4224,58,61,61,47
rollernet1400,2,62,8,9650,485,6965,102,115,118,113
rollernet2147,2,62,5,7328,307,5185,61,61,61,62
rollernet3590,2,62,3,4999,185,3093,31,30,31,31
rollernet1159,2,62,9,10917,546,7869,115,118,120,133
rollernet1675,2,62,6,8448,369,6079,77,89,91,96
rollernet3510,2,62,3,4993,185,3085,31,30,31,31
rollernet1663,2,62,6,8447,369,6065,80,90,91,81
rollernet1341,2,62,8,9979,486,7225,108,117,119,123
rollernet2507,2,62,4,6271,247,4250,57,60,60,48
rollernet3143,2,62,4,5655,244,3727,56,59,60,59
rollernet1318,2,62,8,10039,486,7233,104,117,119,124
rollernet2049,2,62,5,7375,307,5215,61,61,61,70
rollernet1268,2,62,8,10094,487,7138,106,118,118,125
rollernet2764,2,62,4,6119,246,4153,57,60,59,60
rollernet2372,2,62,5,6931,306,4839,61,61,61,72
rollernet3205,2,62,4,5492,244,3557,57,60,60,59
rollernet2965,2,62,4,5979,245,4033,58,60,61,59
rollernet1513,2,62,7,9256,430,6668,89,90,90,107
rollernet1427,2,62,7,9399,428,6771,89,90,90,102
rollernet3458,2,62,3,4986,185,3076,31,30,31,31
rollernet2583,2,62,4,6237,247,4229,58,61,61,47
rollernet1469,2,62,7,9385,427,6795,89,90,90,109
rollernet3107,2,62,4,5735,244,3803,56,60,60,58
rollernet1918,2,62,6,7953,367,5698,81,90,89,84
rollernet2425,2,62,5,6723,306,4644,61,61,61,66
rollernet2835,2,62,4,6071,246,4113,58,60,61,60
rollernet2389,2,62,5,6878,306,4789,61,61,61,73
rollernet1015,2,62,10,11638,608,8203,132,146,121,154
rollernet1310,2,62,8,10039,486,7196,104,116,118,125
rollernet3134,2,62,4,5675,244,3747,56,60,60,59
rollernet1597,2,62,7,8962,428,6493,88,89,92,90
rollernet2060,2,62,5,7363,307,5199,61,60,60,68
rollernet1921,2,62,6,7949,367,5698,81,90,89,84
rollernet1336,2,62,8,9995,486,7236,104,117,119,119
rollernet2400,2,62,5,6862,306,4778,61,60,60,73
rollernet2219,2,62,5,7299,307,5185,61,61,61,62
rollernet3399,2,62,3,4982,185,3075,31,30,31,31
rollernet2291,2,62,5,7137,307,5027,61,61,61,69
rollernet1245,2,62,9,10119,530,7093,112,116,118,128
rollernet3580,2,62,3,4995,185,3089,31,30,31,31
rollernet2207,2,62,5,7307,307,5189,61,61,61,62
rollernet2870,2,62,4,6048,245,4091,58,60,61,59
rollernet3537,2,62,3,4995,185,3087,31,30,31,31
rollernet1821,2,62,6,8289,369,5955,74,90,91,83
rollernet2699,2,62,4,6146,246,4169,57,61,61,51
rollernet2258,2,62,5,7210,307,5097,61,61,60,61
