File,Gamma,dec,time_list_pos_m,decTotal,varDEC
gen_enron,152,0.0001,0.0002,0.0002,0.1525
gen_enron,153,0.0001,0.0002,0.0002,0.1515
gen_enron,154,0.0001,0.0002,0.0002,0.1505
gen_enron,155,0.0001,0.0002,0.0002,0.1496
gen_enron,156,0.0001,0.0002,0.0002,0.1486
gen_enron,157,0.0001,0.0002,0.0002,0.1476
gen_enron,158,0.0001,0.0002,0.0002,0.1467
gen_enron,159,0.0001,0.0002,0.0002,0.1458
gen_enron,160,0.0001,0.0002,0.0002,0.1449
gen_enron,161,0.0,0.0002,0.0002,0.1439
gen_enron,162,0.0,0.0002,0.0002,0.1431
gen_enron,163,0.0,0.0002,0.0002,0.1422
gen_enron,164,0.0,0.0002,0.0002,0.1413
gen_enron,165,0.0,0.0002,0.0002,0.1404
gen_enron,166,0.0,0.0002,0.0002,0.1396
gen_enron,167,0.0,0.0002,0.0002,0.1387
gen_enron,168,0.0,0.0002,0.0002,0.1379
gen_enron,169,0.0,0.0002,0.0002,0.1371
gen_enron,170,0.0,0.0002,0.0002,0.1363
gen_enron,171,0.0,0.0002,0.0002,0.1355
gen_enron,172,0.0,0.0002,0.0002,0.1347
gen_enron,173,0.0,0.0002,0.0002,0.1339
gen_enron,174,0.0,0.0002,0.0002,0.1331
gen_enron,175,0.0,0.0002,0.0002,0.1324
gen_enron,176,0.0,0.0002,0.0002,0.1316
gen_enron,177,0.0,0.0002,0.0002,0.1309
gen_enron,178,0.0,0.0002,0.0002,0.1301
gen_enron,179,0.0,0.0002,0.0002,0.1294
gen_enron,180,0.0,0.0002,0.0002,0.1287
gen_enron,181,0.0,0.0002,0.0002,0.128
gen_enron,182,0.0,0.0001,0.0002,0.1272
gen_enron,183,0.0,0.0001,0.0002,0.1265
gen_enron,184,0.0,0.0001,0.0002,0.1259
gen_enron,185,0.0,0.0001,0.0002,0.1252
gen_enron,186,0.0,0.0001,0.0002,0.1245
gen_enron,187,0.0,0.0001,0.0002,0.1238
gen_enron,188,0.0,0.0001,0.0002,0.1232
gen_enron,189,0.0,0.0001,0.0002,0.1225
gen_enron,190,0.0,0.0001,0.0002,0.1219
gen_enron,191,0.0,0.0001,0.0002,0.1212
gen_enron,192,0.0,0.0001,0.0002,0.1206
gen_enron,193,0.0,0.0001,0.0002,0.12
gen_enron,194,0.0,0.0001,0.0002,0.1193
gen_enron,195,0.0,0.0001,0.0002,0.1187
gen_enron,196,0.0,0.0001,0.0002,0.1181
gen_enron,197,0.0,0.0001,0.0002,0.1175
