File,Gamma,DEC,varDEC
gen_enron,126,14.8597,0.1794
gen_enron,127,14.7418,0.178
gen_enron,128,14.6257,0.1767
gen_enron,129,14.5114,0.1753
gen_enron,130,14.3989,0.174
gen_enron,131,14.2882,0.1727
gen_enron,132,14.1791,0.1714
gen_enron,133,14.0717,0.1701
gen_enron,134,13.9659,0.1689
gen_enron,135,13.8617,0.1677
gen_enron,136,13.759,0.1664
gen_enron,137,13.6578,0.1653
gen_enron,138,13.5581,0.1641
gen_enron,139,13.4599,0.1629
gen_enron,140,13.363,0.1618
gen_enron,141,13.2676,0.1606
gen_enron,142,13.1735,0.1595
gen_enron,143,13.0807,0.1584
gen_enron,144,12.9893,0.1574
gen_enron,145,12.8991,0.1563
gen_enron,146,12.8101,0.1552
gen_enron,147,12.7224,0.1542
gen_enron,148,12.6358,0.1532
gen_enron,149,12.5504,0.1522
gen_enron,150,12.4662,0.1512
gen_enron,151,12.3831,0.1502
gen_enron,152,12.3011,0.1492
gen_enron,153,12.2202,0.1483
gen_enron,154,12.1403,0.1473
gen_enron,155,12.0615,0.1464
gen_enron,156,11.9836,0.1454
gen_enron,157,11.9068,0.1445
gen_enron,158,11.831,0.1436
gen_enron,159,11.7561,0.1427
gen_enron,160,11.6822,0.1419
gen_enron,161,11.6091,0.141
gen_enron,162,11.537,0.1401
gen_enron,163,11.4658,0.1393
gen_enron,164,11.3955,0.1385
gen_enron,165,11.326,0.1376
gen_enron,166,11.2574,0.1368
gen_enron,167,11.1895,0.136
gen_enron,168,11.1225,0.1352
gen_enron,169,11.0563,0.1344
gen_enron,170,10.9909,0.1336
gen_enron,171,10.9263,0.1329
gen_enron,172,10.8624,0.1321
gen_enron,173,10.7992,0.1314
gen_enron,174,10.7368,0.1306
gen_enron,175,10.6751,0.1299
gen_enron,176,10.6141,0.1291
gen_enron,177,10.5538,0.1284
gen_enron,178,10.4941,0.1277
gen_enron,179,10.4352,0.127
gen_enron,180,10.3769,0.1263
gen_enron,181,10.3192,0.1256
gen_enron,182,10.2622,0.1249
gen_enron,183,10.2058,0.1243
gen_enron,184,10.1501,0.1236
gen_enron,185,10.0949,0.1229
gen_enron,186,10.0403,0.1223
gen_enron,187,9.9864,0.1216
gen_enron,188,9.933,0.121
gen_enron,189,9.8801,0.1204
gen_enron,190,9.8278,0.1197
gen_enron,191,9.7761,0.1191
gen_enron,192,9.7249,0.1185
gen_enron,193,9.6743,0.1179
gen_enron,194,9.6242,0.1173
gen_enron,195,9.5746,0.1167
gen_enron,196,9.5255,0.1161
gen_enron,197,9.4769,0.1155
gen_enron,198,9.4287,0.115
gen_enron,199,9.3811,0.1144
gen_enron,200,9.334,0.1138
gen_enron,201,9.2873,0.1133
gen_enron,202,9.2411,0.1127
gen_enron,203,9.1954,0.1122
gen_enron,204,9.1501,0.1116
gen_enron,205,9.1052,0.1111
gen_enron,206,9.0608,0.1106
gen_enron,207,9.0168,0.11
gen_enron,208,8.9733,0.1095
gen_enron,209,8.9301,0.109
gen_enron,210,8.8874,0.1085
gen_enron,211,8.8451,0.108
gen_enron,212,8.8031,0.1075
gen_enron,213,8.7616,0.107
gen_enron,214,8.7205,0.1065
gen_enron,215,8.6797,0.106
gen_enron,216,8.6394,0.1055
gen_enron,217,8.5994,0.105
gen_enron,218,8.5597,0.1045
gen_enron,219,8.5205,0.1041
gen_enron,220,8.4816,0.1036
gen_enron,221,8.443,0.1031
gen_enron,222,8.4048,0.1027
gen_enron,223,8.367,0.1022
gen_enron,224,8.3294,0.1018
gen_enron,225,8.2922,0.1013
gen_enron,226,8.2554,0.1009
gen_enron,227,8.2189,0.1004
gen_enron,228,8.1827,0.1
gen_enron,229,8.1468,0.0996
gen_enron,230,8.1112,0.0991
gen_enron,231,8.0759,0.0987
gen_enron,232,8.041,0.0983
gen_enron,233,8.0063,0.0979
gen_enron,234,7.9719,0.0975
gen_enron,235,7.9379,0.097
gen_enron,236,7.9041,0.0966
gen_enron,237,7.8706,0.0962
gen_enron,238,7.8374,0.0958
gen_enron,239,7.8045,0.0954
gen_enron,240,7.7718,0.095
gen_enron,241,7.7394,0.0947
gen_enron,242,7.7073,0.0943
gen_enron,243,7.6755,0.0939
gen_enron,244,7.6439,0.0935
gen_enron,245,7.6126,0.0931
gen_enron,246,7.5815,0.0928
gen_enron,247,7.5507,0.0924
gen_enron,248,7.5201,0.092
gen_enron,249,7.4898,0.0916
gen_enron,250,7.4597,0.0913
gen_enron,251,7.4299,0.0909
gen_enron,252,7.4003,0.0906
gen_enron,253,7.3709,0.0902
gen_enron,254,7.3418,0.0899
gen_enron,255,7.3128,0.0895
gen_enron,256,7.2842,0.0892
gen_enron,257,7.2557,0.0888
gen_enron,258,7.2275,0.0885
gen_enron,259,7.1995,0.0881
gen_enron,260,7.1717,0.0878
gen_enron,261,7.1441,0.0875
gen_enron,262,7.1167,0.0871
gen_enron,263,7.0896,0.0868
gen_enron,264,7.0626,0.0865
gen_enron,265,7.0358,0.0862
gen_enron,266,7.0093,0.0858
gen_enron,267,6.9829,0.0855
