File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
enron4770000,2,150,21,4254,1572,2150,222,237,239,255
enron5610000,2,150,18,3943,1371,1924,194,201,201,219
enron40000,2,150,2457,17795,21470,2567,1134,1169,1164,1177
enron3560000,2,150,28,4821,1959,2477,269,294,288,313
enron4640000,2,150,22,4263,1578,2129,212,228,231,242
enron8060000,2,150,13,3411,1019,1599,142,154,153,168
enron1730000,2,150,57,6577,3468,3378,446,468,466,537
enron7740000,2,150,13,3455,1063,1618,154,164,165,168
enron190000,2,150,518,13775,13203,4401,1223,1270,1262,1394
enron1340000,2,150,74,7263,4133,3654,514,552,538,616
enron9820000,2,150,11,3138,863,1407,128,134,131,156
enron7920000,2,150,13,3415,1030,1602,145,157,152,169
enron6470000,2,150,16,3732,1236,1829,175,190,183,206
enron1380000,2,150,72,7181,4062,3644,510,544,531,602
enron3870000,2,150,26,4627,1843,2350,247,271,268,302
enron9160000,2,150,11,3167,916,1395,127,134,136,151
enron4410000,2,150,23,4413,1656,2249,220,247,243,263
enron3220000,2,150,31,5012,2128,2559,282,320,316,349
enron1620000,2,150,61,6729,3627,3416,469,486,486,555
enron9370000,2,150,11,3198,937,1420,135,142,139,152
enron6670000,2,150,15,3655,1192,1754,162,179,178,198
enron7850000,2,150,13,3454,1071,1632,153,163,162,176
enron4850000,2,150,21,4171,1515,2078,209,223,224,247
enron7790000,2,150,13,3487,1072,1651,152,168,168,173
enron1900000,2,150,52,6323,3199,3279,421,450,441,485
enron7420000,2,150,14,3485,1094,1623,152,173,175,172
enron5980000,2,150,17,3842,1304,1870,188,200,199,216
enron1150000,2,150,86,7781,4642,3945,571,608,605,662
enron470000,2,150,210,10859,8474,4896,914,962,964,1110
enron4100000,2,150,24,4529,1774,2299,237,264,267,279
enron2960000,2,150,34,5213,2284,2663,301,328,327,361
enron10000000,2,150,10,3143,852,1419,123,134,134,140
enron2050000,2,150,48,6107,3044,3152,394,425,422,463
enron2760000,2,150,36,5390,2398,2791,311,340,336,365
enron6330000,2,150,16,3738,1227,1805,170,187,184,186
enron2820000,2,150,35,5284,2359,2698,312,333,332,371
enron6100000,2,150,17,3861,1289,1895,175,193,188,204
enron960000,2,150,103,8318,5298,4091,651,682,678,758
enron2370000,2,150,42,5736,2715,2945,356,376,376,416
enron9400000,2,150,11,3191,932,1418,133,138,137,142
enron3200000,2,150,31,5084,2151,2620,291,314,314,340
enron7470000,2,150,14,3464,1084,1600,150,168,166,179
enron4990000,2,150,20,4239,1519,2173,203,230,232,249
enron7150000,2,150,14,3645,1161,1777,165,178,178,191
enron7380000,2,150,14,3463,1094,1596,151,169,168,175
enron4670000,2,150,22,4295,1580,2163,209,224,224,256
enron8660000,2,150,12,3339,985,1571,143,152,152,154
enron5060000,2,150,20,4117,1497,2047,202,225,227,243
enron3550000,2,150,28,4820,1956,2457,264,285,290,315
enron70000,2,150,1404,16827,19211,4362,1526,1587,1580,1704
enron8180000,2,150,13,3379,1015,1581,144,156,158,161
enron8930000,2,150,12,3251,928,1490,130,141,146,154
enron5680000,2,150,18,3905,1351,1885,184,204,196,216
enron9410000,2,150,11,3194,932,1424,133,138,136,145
enron7000000,2,150,15,3625,1152,1753,170,179,179,184
enron9540000,2,150,11,3234,930,1484,133,139,141,147
enron9320000,2,150,11,3207,931,1438,130,145,145,153
enron8440000,2,150,12,3361,998,1564,144,155,159,162
enron2200000,2,150,45,5886,2862,2996,373,397,393,447
enron1250000,2,150,79,7509,4367,3817,546,578,570,632
enron9650000,2,150,11,3158,887,1423,127,135,132,145
enron300000,2,150,328,12313,10754,4620,1063,1097,1093,1288
enron9330000,2,150,11,3208,934,1435,131,142,142,154
enron9290000,2,150,11,3179,918,1402,130,143,142,153
enron7930000,2,150,13,3421,1026,1607,144,156,153,164
enron4400000,2,150,23,4410,1654,2244,217,242,244,263
enron7590000,2,150,13,3441,1066,1596,150,166,164,166
enron3420000,2,150,29,4897,2023,2502,270,299,297,314
enron330000,2,150,298,12048,10251,4757,1018,1074,1074,1213
enron2710000,2,150,37,5345,2426,2693,317,344,342,376
enron7960000,2,150,13,3398,1024,1581,141,156,150,172
enron4710000,2,150,21,4282,1582,2176,209,232,233,262
enron9690000,2,150,11,3143,878,1406,130,135,130,156
enron6570000,2,150,15,3698,1217,1781,168,184,181,197
enron9150000,2,150,11,3169,915,1400,127,134,138,142
enron3260000,2,150,31,4943,2114,2511,277,309,303,340
enron3930000,2,150,26,4601,1848,2334,242,272,264,292
enron1300000,2,150,76,7377,4246,3736,539,564,565,647
enron8070000,2,150,13,3416,1018,1605,143,151,154,170
enron200000,2,150,492,13597,12892,4391,1217,1277,1271,1386
enron920000,2,150,107,8491,5438,4202,653,682,680,779
enron7050000,2,150,14,3656,1152,1801,171,179,176,193
enron4030000,2,150,25,4570,1789,2327,245,258,256,291
enron7290000,2,150,14,3524,1112,1651,149,172,169,173
enron4130000,2,150,24,4438,1727,2220,232,259,258,272
enron1140000,2,150,87,7833,4702,3958,586,612,609,692
enron6150000,2,150,16,3835,1282,1871,173,188,186,211
enron1180000,2,150,84,7622,4555,3788,557,596,589,662
enron8990000,2,150,11,3201,920,1444,132,139,139,144
enron220000,2,150,447,13283,12302,4405,1150,1204,1199,1321
enron180000,2,150,546,13974,13508,4358,1247,1303,1297,1409
enron4510000,2,150,22,4364,1632,2191,216,241,240,271
enron3750000,2,150,27,4696,1898,2381,254,274,280,312
enron4330000,2,150,23,4420,1697,2249,232,249,250,268
enron5750000,2,150,18,3915,1354,1921,183,203,203,232
enron5320000,2,150,19,4110,1453,2069,199,219,217,247
enron6280000,2,150,16,3743,1231,1812,166,183,178,209
enron6500000,2,150,16,3708,1227,1799,173,189,181,201
enron350000,2,150,281,11827,9993,4809,1031,1077,1081,1197
enron690000,2,150,143,9515,6674,4639,770,796,793,909
enron4570000,2,150,22,4273,1595,2129,212,231,230,255
enron9000000,2,150,11,3200,920,1443,131,138,140,146
enron8390000,2,150,12,3358,998,1555,143,155,154,168
enron6300000,2,150,16,3737,1233,1806,170,183,178,193
enron3150000,2,150,32,5039,2162,2576,283,306,303,336
enron5600000,2,150,18,3949,1372,1930,192,207,204,219
enron5150000,2,150,20,4067,1451,2017,208,215,214,240
enron2470000,2,150,40,5642,2640,2894,327,357,361,400
enron8610000,2,150,12,3343,986,1567,147,155,151,161
enron2090000,2,150,48,6027,2959,3053,389,406,406,451
enron290000,2,150,339,12394,10921,4594,1055,1110,1104,1251
enron5290000,2,150,19,4113,1455,2069,199,218,217,248
enron4540000,2,150,22,4319,1628,2153,217,240,239,265
enron310000,2,150,318,12238,10604,4743,1066,1097,1085,1240
enron6660000,2,150,15,3717,1230,1816,167,184,181,199
enron7440000,2,150,14,3475,1090,1616,151,169,172,179
enron2230000,2,150,45,5910,2835,3068,370,384,388,437
enron3920000,2,150,26,4601,1847,2313,241,272,268,297
enron7580000,2,150,13,3438,1064,1591,150,164,161,169
enron5560000,2,150,18,3989,1374,1987,195,210,207,222
enron7800000,2,150,13,3491,1072,1661,151,168,166,178
enron150000,2,150,656,14508,14547,4327,1251,1303,1301,1449
enron6110000,2,150,17,3863,1288,1901,178,192,185,213
enron9340000,2,150,11,3208,933,1434,131,141,142,157
enron5160000,2,150,20,4062,1451,2012,205,217,214,237
enron1000000,2,150,99,8166,5114,4046,620,656,658,747
enron6070000,2,150,17,3857,1296,1891,179,191,190,209
enron6840000,2,150,15,3643,1157,1762,162,183,180,193
enron8490000,2,150,12,3367,998,1579,145,152,156,158
enron8010000,2,150,13,3412,1022,1601,139,159,156,172
enron8280000,2,150,12,3352,998,1546,141,153,153,164
enron7630000,2,150,13,3458,1060,1618,155,169,167,175
enron4310000,2,150,23,4430,1708,2254,235,256,253,277
enron950000,2,150,104,8406,5330,4214,659,680,687,774
enron1160000,2,150,85,7677,4622,3813,567,593,592,680
enron3570000,2,150,28,4824,1963,2475,267,298,292,318
enron3720000,2,150,27,4706,1910,2372,244,269,269,308
enron9580000,2,150,11,3215,928,1474,131,142,140,150
enron910000,2,150,108,8487,5494,4158,663,685,686,804
enron3320000,2,150,30,5014,2101,2624,286,302,307,335
enron7300000,2,150,14,3523,1112,1648,149,171,166,173
enron660000,2,150,149,9669,6836,4671,783,829,824,926
enron7310000,2,150,14,3511,1109,1636,148,168,167,173
enron6730000,2,150,15,3632,1169,1737,161,178,178,181
enron3130000,2,150,32,5022,2159,2562,278,310,310,336
enron3400000,2,150,29,4884,2034,2465,260,294,293,313
enron3140000,2,150,32,5049,2164,2592,278,312,310,347
enron6440000,2,150,16,3743,1229,1830,172,185,180,208
enron7020000,2,150,14,3633,1151,1771,168,181,183,188
enron4420000,2,150,23,4416,1659,2271,219,249,244,264
enron3090000,2,150,32,5165,2216,2675,298,317,322,342
enron7350000,2,150,14,3483,1105,1608,149,169,169,172
enron9670000,2,150,11,3145,879,1409,128,135,134,154
enron6380000,2,150,16,3753,1230,1829,172,186,187,198
enron1270000,2,150,78,7476,4346,3812,539,565,565,631
enron3700000,2,150,27,4717,1914,2350,240,273,277,298
enron2190000,2,150,45,5893,2867,3004,383,407,399,449
enron8550000,2,150,12,3346,987,1562,145,156,152,165
enron4000000,2,150,25,4585,1786,2356,243,270,267,294
enron5310000,2,150,19,4109,1457,2070,203,222,218,248
enron1790000,2,150,55,6455,3350,3307,419,448,452,497
enron1200000,2,150,82,7634,4515,3883,565,600,591,688
enron5300000,2,150,19,4106,1457,2069,201,220,218,244
enron6040000,2,150,17,3825,1301,1847,182,192,192,210
enron9260000,2,150,11,3178,917,1403,131,138,138,148
enron6560000,2,150,15,3687,1221,1770,168,188,183,200
enron9240000,2,150,11,3177,916,1398,130,137,135,153
enron8880000,2,150,12,3244,928,1486,127,140,143,160
enron3240000,2,150,31,4973,2103,2530,285,297,302,340
enron1230000,2,150,80,7545,4407,3822,546,570,566,653
enron5870000,2,150,17,3911,1317,1965,187,200,205,214
enron6320000,2,150,16,3745,1235,1812,170,187,179,194
enron4140000,2,150,24,4467,1728,2251,231,256,255,277
