File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron2160000,2,150,46,5978,3079,0.1082,0.748,0.3211,0.0293
enron6030000,2,150,17,3826,1851,0.036,0.4253,0.2529,0.0186
enron5090000,2,150,20,4103,2041,0.0419,0.5196,0.269,0.018
enron1650000,2,150,60,6653,3382,0.1414,0.8466,0.3296,0.0574
enron3710000,2,150,27,4730,2393,0.0599,0.5549,0.3269,0.047
enron3460000,2,150,29,4905,2530,0.0675,0.5964,0.3121,0.0535
enron9200000,2,150,11,3174,1400,0.0292,0.4509,0.339,0.041
enron3270000,2,150,31,4968,2565,0.0871,0.8396,0.3868,0.0547
enron3730000,2,150,27,4708,2386,0.0619,0.6772,0.2963,0.1129
enron2320000,2,150,43,5752,2939,0.1029,0.8437,0.3454,0.0549
enron4470000,2,150,22,4397,2237,0.1062,0.7828,0.5738,0.0658
enron6080000,2,150,17,3856,1886,0.0462,0.9266,0.6176,0.0499
enron2750000,2,150,36,5366,2748,0.1071,1.2914,0.3621,0.0334
enron1330000,2,150,74,7347,3775,0.1954,1.1419,0.3975,0.0357
enron8950000,2,150,11,3222,1461,0.0201,0.3547,0.2158,0.0153
enron430000,2,150,229,11152,4890,0.4852,2.3014,0.4091,0.0541
enron3480000,2,150,29,4808,2452,0.0681,0.587,0.3068,0.0254
enron6760000,2,150,15,3631,1738,0.0305,0.4221,0.2992,0.045
enron8500000,2,150,12,3366,1580,0.025,0.4333,0.292,0.0409
enron3070000,2,150,33,5166,2655,0.0796,0.6458,0.3031,0.0491
enron3660000,2,150,27,4720,2400,0.0584,0.5636,0.2865,0.0536
enron8740000,2,150,12,3273,1515,0.0226,0.3578,0.2224,0.0168
enron1030000,2,150,96,8165,4113,0.2389,1.2771,0.3891,0.0685
enron9090000,2,150,11,3171,1406,0.0256,0.5044,0.2655,0.0162
enron8290000,2,150,12,3351,1541,0.023,0.3808,0.2463,0.0453
enron4840000,2,150,21,4179,2080,0.0986,0.9378,0.3827,0.0641
enron7040000,2,150,14,3651,1796,0.0342,0.5295,0.2994,0.0434
enron4010000,2,150,25,4600,2375,0.0616,0.631,0.5094,0.0465
enron7600000,2,150,13,3440,1595,0.0548,0.8689,0.3316,0.0584
enron4110000,2,150,24,4532,2307,0.0607,0.775,0.3379,0.026
enron7120000,2,150,14,3626,1769,0.0311,0.492,0.2714,0.0424
enron4370000,2,150,23,4379,2211,0.056,0.5327,0.3709,0.0233
enron3600000,2,150,28,4844,2504,0.1157,0.6511,0.3148,0.0214
enron9220000,2,150,11,3176,1398,0.0199,0.3406,0.2064,0.0128
enron3410000,2,150,29,4864,2435,0.0624,0.5722,0.2725,0.0501
enron450000,2,150,219,11043,4998,0.4538,2.5232,0.4151,0.1282
enron4460000,2,150,23,4425,2280,0.0518,0.555,0.3504,0.0501
enron5520000,2,150,18,3964,1956,0.0377,0.4906,0.2644,0.0633
enron210000,2,150,468,13374,4313,0.6212,4.4059,0.4446,0.0669
enron5690000,2,150,18,3899,1877,0.0412,0.4947,0.2606,0.0541
enron6650000,2,150,15,3702,1805,0.0336,0.4246,0.2555,0.0157
enron7820000,2,150,13,3482,1655,0.0267,0.388,0.3326,0.0173
enron1800000,2,150,55,6462,3319,0.134,0.8535,0.3232,0.1105
