File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron3670000,2,150,27,4711,2387,0.0411,0.3803,0.2014,0.0155
enron5020000,2,150,20,4262,2210,0.0319,0.3964,0.216,0.0125
enron370000,2,150,266,11631,4832,0.3179,1.7587,0.292,0.0384
enron1260000,2,150,78,7443,3735,0.1315,0.712,0.2276,0.0247
enron8080000,2,150,13,3410,1604,0.0169,0.2662,0.1642,0.0091
enron1530000,2,150,65,6821,3454,0.1039,0.662,0.2185,0.0225
enron5970000,2,150,17,3842,1870,0.0257,0.3019,0.178,0.0104
enron9100000,2,150,11,3177,1415,0.0136,0.235,0.1453,0.0108
enron3840000,2,150,26,4688,2398,0.0415,0.3871,0.2049,0.0405
enron5330000,2,150,19,4104,2056,0.0298,0.3314,0.1935,0.0115
enron6220000,2,150,16,3731,1786,0.0219,0.2851,0.1667,0.0101
enron6600000,2,150,15,3722,1810,0.0229,0.2944,0.1762,0.0103
enron6120000,2,150,17,3858,1890,0.0238,0.3041,0.1823,0.0422
enron930000,2,150,106,8437,4174,0.176,0.8863,0.2397,0.0279
enron5050000,2,150,20,4125,2045,0.0297,0.3284,0.1846,0.0336
enron1050000,2,150,94,8042,4029,0.1586,0.8203,0.2377,0.026
enron3880000,2,150,26,4582,2285,0.038,0.3684,0.2061,0.0164
enron9970000,2,150,10,3145,1411,0.0134,0.233,0.1458,0.0103
enron6420000,2,150,16,3761,1845,0.0232,0.2997,0.1812,0.0131
enron6090000,2,150,17,3859,1891,0.0237,0.3074,0.1855,0.0105
enron1970000,2,150,50,6172,3178,0.1083,0.5333,0.2163,0.0208
enron3540000,2,150,28,4810,2431,0.0423,0.3909,0.1921,0.015
enron8140000,2,150,13,3383,1589,0.0171,0.2628,0.167,0.0113
enron8270000,2,150,12,3339,1531,0.018,0.2525,0.1517,0.0087
enron2600000,2,150,38,5545,2875,0.0628,0.4878,0.2134,0.0218
enron480000,2,150,205,10753,4872,0.2865,1.4583,0.2915,0.0356
enron1460000,2,150,68,7027,3557,0.1127,0.6628,0.223,0.0237
enron2780000,2,150,36,5425,2841,0.0615,0.4588,0.2239,0.0448
enron2290000,2,150,43,5804,2985,0.0707,0.4976,0.222,0.0198
enron7100000,2,150,14,3648,1795,0.021,0.2905,0.1851,0.0128
enron9630000,2,150,11,3164,1426,0.0141,0.2354,0.1722,0.0114
enron9850000,2,150,10,3131,1406,0.0133,0.2393,0.1472,0.0103
enron4350000,2,150,23,4375,2209,0.0341,0.3479,0.1957,0.0123
enron9210000,2,150,11,3177,1400,0.0137,0.2383,0.1406,0.0112
enron5920000,2,150,17,3890,1946,0.0253,0.3098,0.1907,0.0139
enron2220000,2,150,45,5944,3098,0.0751,0.5566,0.2256,0.0183
enron8700000,2,150,12,3272,1502,0.0179,0.2519,0.1506,0.0086
enron270000,2,150,364,12694,4646,0.3448,2.2879,0.2736,0.0593
enron4150000,2,150,24,4485,2276,0.0358,0.3643,0.202,0.0159
enron6000000,2,150,17,3835,1867,0.0244,0.3012,0.1891,0.0141
enron3080000,2,150,32,5136,2616,0.0519,0.4362,0.2051,0.0154
enron8090000,2,150,13,3414,1612,0.0171,0.2695,0.1648,0.0116
enron5080000,2,150,20,4107,2036,0.0288,0.3277,0.1879,0.0114
enron5200000,2,150,19,4067,1997,0.0276,0.3191,0.1796,0.0361
enron570000,2,150,173,10238,4800,0.2634,1.2859,0.2805,0.0332
enron610000,2,150,162,9948,4722,0.2516,1.2194,0.2651,0.0333
enron8980000,2,150,11,3204,1448,0.014,0.2363,0.1478,0.0112
enron1480000,2,150,67,6986,3583,0.112,0.6518,0.2274,0.0219
enron4270000,2,150,24,4451,2228,0.036,0.3566,0.1916,0.0127
enron9080000,2,150,11,3177,1415,0.0136,0.2371,0.1771,0.008
enron6750000,2,150,15,3639,1747,0.0206,0.2799,0.1651,0.0097
enron5280000,2,150,19,4103,2054,0.0288,0.3336,0.1913,0.0132
enron2480000,2,150,40,5614,2894,0.0637,0.4777,0.2141,0.0166
enron2640000,2,150,38,5443,2783,0.06,0.4905,0.2063,0.0169
enron7480000,2,150,14,3461,1595,0.0178,0.2582,0.1523,0.0093
enron3790000,2,150,26,4668,2379,0.0407,0.3885,0.2054,0.0155
enron2950000,2,150,34,5221,2677,0.0555,0.4354,0.2083,0.0517
enron6850000,2,150,15,3655,1778,0.0208,0.2821,0.1718,0.0099
enron1780000,2,150,56,6436,3291,0.0905,0.5694,0.2168,0.0209
enron4830000,2,150,21,4165,2056,0.0315,0.3248,0.1825,0.039
enron1130000,2,150,87,7810,3926,0.1477,0.768,0.2324,0.026
enron2140000,2,150,46,5968,3079,0.076,0.5052,0.2096,0.0462
enron1720000,2,150,58,6591,3403,0.0975,0.5835,0.2277,0.0222
enron5180000,2,150,19,4078,2015,0.0281,0.3212,0.2149,0.0124
enron2020000,2,150,49,6095,3132,0.078,0.5313,0.2133,0.0184
enron2430000,2,150,41,5680,2935,0.0657,0.4861,0.2183,0.0191
enron130000,2,150,756,14953,4248,0.3932,3.877,0.3282,0.0457
enron1310000,2,150,76,7379,3756,0.1278,0.721,0.2336,0.0245
enron7360000,2,150,14,3486,1612,0.019,0.2632,0.1509,0.0093
enron9450000,2,150,11,3207,1447,0.0167,0.2454,0.1466,0.0082
enron4080000,2,150,25,4565,2320,0.0365,0.3944,0.1994,0.0153
enron5190000,2,150,19,4084,2014,0.0291,0.3227,0.1837,0.0115
enron2210000,2,150,45,5919,3075,0.0729,0.5081,0.2615,0.02
enron9130000,2,150,11,3174,1405,0.0135,0.2361,0.1412,0.0103
enron4260000,2,150,24,4458,2240,0.0355,0.3586,0.1931,0.0157
enron4580000,2,150,22,4248,2096,0.031,0.3366,0.1821,0.0119
enron5420000,2,150,19,3998,1995,0.0279,0.3185,0.192,0.0113
enron6180000,2,150,16,3839,1881,0.0239,0.3382,0.1833,0.0132
enron2500000,2,150,40,5644,2940,0.0643,0.4939,0.2238,0.0178
enron3740000,2,150,27,4706,2392,0.0403,0.382,0.197,0.0144
enron3160000,2,150,32,5088,2635,0.0498,0.4569,0.2122,0.0188
enron8640000,2,150,12,3351,1582,0.0179,0.2629,0.1649,0.0089
enron1390000,2,150,71,7194,3639,0.1192,0.6796,0.2414,0.0223
enron7980000,2,150,13,3408,1595,0.0167,0.2586,0.1603,0.0118
enron5650000,2,150,18,3909,1886,0.0249,0.3032,0.1715,0.0107
enron9460000,2,150,11,3210,1450,0.0167,0.2409,0.1461,0.0081
enron2150000,2,150,46,6029,3153,0.0772,0.5256,0.2464,0.0195
enron6990000,2,150,15,3615,1741,0.0208,0.2784,0.1734,0.0113
enron8590000,2,150,12,3364,1585,0.017,0.2598,0.1646,0.012
enron3100000,2,150,32,5068,2591,0.0514,0.4131,0.2053,0.0162
enron560000,2,150,176,10229,4821,0.2729,1.3582,0.3205,0.0343
enron3350000,2,150,30,4944,2542,0.0578,0.4985,0.2636,0.0207
enron1860000,2,150,53,6347,3247,0.0908,0.6257,0.2292,0.0231
enron5860000,2,150,17,3904,1953,0.0581,0.4014,0.4814,0.0185
enron2310000,2,150,43,5745,2924,0.1535,1.1874,0.5343,0.1227
enron8350000,2,150,12,3369,1561,0.0503,0.5661,0.3591,0.0292
enron5380000,2,150,19,4080,2060,0.042,0.439,0.3124,0.0142
enron5530000,2,150,18,3968,1962,0.029,0.3864,0.2026,0.0156
enron9560000,2,150,11,3226,1478,0.0179,0.2924,0.1946,0.0094
enron5640000,2,150,18,3925,1899,0.0279,0.3601,0.185,0.015
enron8000000,2,150,13,3401,1595,0.0175,0.276,0.169,0.0098
enron5350000,2,150,19,4087,2046,0.0289,0.3368,0.1977,0.0147
enron6580000,2,150,15,3695,1776,0.0472,0.293,0.1756,0.0105
enron9810000,2,150,11,3140,1410,0.0151,0.2483,0.1544,0.0113
enron4610000,2,150,22,4232,2076,0.0316,0.3646,0.1916,0.0156
enron8160000,2,150,13,3380,1584,0.0187,0.2688,0.1665,0.0093
enron8520000,2,150,12,3352,1565,0.0208,0.3086,0.1957,0.0105
enron980000,2,150,101,8272,4126,0.2614,1.4173,0.4234,0.0396
enron9660000,2,150,11,3158,1423,0.0184,0.298,0.1666,0.0115
enron3830000,2,150,26,4687,2407,0.043,0.422,0.2524,0.0159
enron8330000,2,150,12,3359,1546,0.0197,0.2979,0.2236,0.0128
enron520000,2,150,189,10458,4816,0.3304,1.6932,0.3155,0.0494
enron7190000,2,150,14,3606,1742,0.0242,0.3359,0.1908,0.0112
enron1680000,2,150,59,6596,3364,0.0979,0.6096,0.223,0.0229
enron9990000,2,150,10,3150,1425,0.0141,0.2506,0.1887,0.0085
enron8400000,2,150,12,3366,1567,0.0171,0.2657,0.1661,0.0092
enron3960000,2,150,25,4567,2325,0.0384,0.3848,0.2123,0.0168
enron230000,2,150,428,13246,4592,0.407,4.5551,0.2941,0.0753
enron2390000,2,150,42,5731,2954,0.0673,0.4855,0.2282,0.0178
enron8910000,2,150,12,3248,1491,0.0145,0.2508,0.1532,0.011
enron4900000,2,150,21,4168,2074,0.0297,0.3313,0.1846,0.012
enron8940000,2,150,11,3231,1469,0.0142,0.245,0.152,0.0117
enron2980000,2,150,33,5182,2642,0.0513,0.4324,0.2497,0.0164
enron2030000,2,150,49,6106,3142,0.0834,0.537,0.2143,0.0208
enron3650000,2,150,27,4744,2422,0.0417,0.399,0.2075,0.0144
enron6680000,2,150,15,3657,1759,0.0222,0.2849,0.1711,0.0099
enron6240000,2,150,16,3734,1783,0.022,0.329,0.1647,0.0126
enron7220000,2,150,14,3627,1769,0.0205,0.2957,0.1824,0.0097
enron6430000,2,150,16,3745,1830,0.023,0.2994,0.178,0.0129
enron6250000,2,150,16,3732,1781,0.0228,0.2856,0.1673,0.0103
enron6260000,2,150,16,3726,1782,0.0241,0.2872,0.1644,0.0328
enron360000,2,150,273,11783,4897,0.3224,1.814,0.2975,0.0392
enron7900000,2,150,13,3416,1597,0.0172,0.2659,0.1637,0.0118
enron5570000,2,150,18,3989,1985,0.0267,0.3166,0.1885,0.014
enron3360000,2,150,30,4870,2428,0.044,0.4041,0.191,0.0141
enron50000,2,150,1966,17406,3228,0.3373,5.9822,0.293,0.05
enron5890000,2,150,17,3882,1936,0.0253,0.3145,0.1906,0.0107
enron5230000,2,150,19,4059,1990,0.0274,0.3237,0.179,0.0144
enron9840000,2,150,10,3128,1400,0.0135,0.2348,0.1447,0.0089
enron7670000,2,150,13,3456,1622,0.0186,0.2725,0.1666,0.0096
