File,Gamma,DC
test0112,2,256
test0088,2,302
test1084,2,548
test0766,2,608
test1203,2,134
test0526,2,416
test0523,2,233
test0790,2,205
test0089,2,331
test0782,2,393
test0912,2,592
test0355,2,421
test1200,2,308
test1321,2,1188
test0399,2,400
test0327,2,86
test0302,2,377
test0955,2,193
test0000,2,64
test0558,2,743
test0352,2,54
test1479,2,740
test0514,2,678
test0074,2,538
test1190,2,326
test1470,2,104
test0212,2,129
test0663,2,267
test0743,2,204
test0477,2,336
test1402,2,893
test0336,2,325
test0601,2,673
test0337,2,691
test0076,2,108
test1144,2,475
test1178,2,908
test0182,2,107
test0651,2,494
test0857,2,274
test1055,2,472
test0217,2,38
test1300,2,17
test0360,2,585
test1134,2,154
test1285,2,781
test0147,2,520
test0908,2,446
test0752,2,399
test1090,2,686
test0903,2,48
test1378,2,284
test1365,2,568
test1182,2,466
test0733,2,808
test1066,2,542
test1427,2,70
test0420,2,804
test1290,2,461
test0865,2,128
test1219,2,631
test0700,2,678
test1243,2,813
test0237,2,256
test1408,2,371
test0828,2,89
test0357,2,245
test0676,2,182
test0746,2,734
test1458,2,35
test0097,2,515
test0270,2,147
test0290,2,277
test1048,2,1075
test0034,2,684
test1380,2,79
test0686,2,27
test0347,2,315
test0644,2,369
test1170,2,132
test1496,2,37
test0160,2,297
test0361,2,219
test0314,2,228
test0180,2,126
test1209,2,395
test0429,2,397
test1179,2,155
test0856,2,99
test0559,2,27
test0111,2,665
test1081,2,812
test0931,2,425
test0726,2,273
test0414,2,303
test1447,2,851
test1123,2,1030
test0646,2,35
test0220,2,37
test0846,2,503
test1239,2,692
test0602,2,38
test1399,2,162
test0704,2,220
test0179,2,435
test0177,2,243
test0070,2,205
test0412,2,680
test1291,2,452
test1389,2,471
test0744,2,39
test1459,2,824
test0708,2,489
test0468,2,751
test1454,2,36
test0245,2,188
test0978,2,654
test0373,2,27
test0821,2,609
test0004,2,309
test0618,2,479
test1418,2,140
test0692,2,178
test0101,2,760
test0973,2,21
test1120,2,361
test0455,2,534
test0935,2,89
test0634,2,321
test1397,2,528
test0174,2,197
test0071,2,356
test1195,2,606
test0751,2,655
test0777,2,355
test1281,2,67
test0719,2,298
test0768,2,491
test0552,2,129
test0043,2,222
test0696,2,180
test1022,2,228
test0298,2,857
test0371,2,400
test1114,2,245
test0370,2,479
test0092,2,560
test0588,2,207
test1307,2,990
test1180,2,1132
test0905,2,177
test1263,2,410
test0915,2,828
test0291,2,475
test0142,2,932
test0685,2,135
test0622,2,32
test0334,2,435
test1347,2,275
test1229,2,225
test0450,2,267
test0780,2,62
test0108,2,957
test0842,2,351
test0589,2,537
test0262,2,280
test0990,2,36
test1252,2,361
test0951,2,36
test0511,2,132
test1244,2,172
test0820,2,28
test0437,2,44
test1174,2,726
test1269,2,716
test0972,2,79
test0613,2,466
test0992,2,229
test1351,2,215
test0005,2,747
test0572,2,731
test0338,2,45
test0855,2,610
test1156,2,344
test0802,2,34
test1224,2,127
test1021,2,279
test0783,2,348
test0551,2,409
test0348,2,27
test0120,2,950
test0680,2,10
test0741,2,360
