File,Gamma,DC
test0019,2,0.0395
test0688,2,0.0029
test0792,2,0.1281
test0113,2,0.0024
test0331,2,0.0268
test0119,2,0.0009
test0716,2,0.1115
test1109,2,0.0307
test1409,2,0.0264
test1169,2,0.0159
test0929,2,0.0285
test0859,2,0.0121
test1153,2,0.067
test0011,2,0.0357
test0150,2,0.0574
test0197,2,0.0102
test0742,2,0.0182
test0993,2,0.0098
test0884,2,0.0226
test0775,2,0.0057
test1372,2,0.004
test0442,2,0.0172
test0496,2,0.0118
test1069,2,0.0029
test1345,2,0.0595
test0913,2,0.0379
test0452,2,0.0509
test0481,2,0.0436
test1276,2,0.0911
test0183,2,0.0155
test1166,2,0.0623
test1398,2,0.098
test0707,2,0.0758
test1299,2,0.0377
test0998,2,0.0034
test1471,2,0.1178
test0606,2,0.0164
test0225,2,0.0074
test0110,2,0.0285
test1383,2,0.0103
test0717,2,0.0632
test0836,2,0.0025
test0171,2,0.0853
test0890,2,0.1237
test1346,2,0.0382
test0112,2,0.0237
test0088,2,0.0243
test1084,2,0.0434
test0766,2,0.0532
test1203,2,0.0112
test0526,2,0.0466
test0523,2,0.022
test0790,2,0.0174
test0089,2,0.0299
test0782,2,0.0295
test0912,2,0.0739
test0355,2,0.0307
test1200,2,0.0292
test1321,2,0.1067
test0399,2,0.0503
test0327,2,0.0063
test0302,2,0.0264
test0955,2,0.0222
test0000,2,0.0048
test0558,2,0.0699
test0352,2,0.0037
test1479,2,0.0648
test0514,2,0.0606
test0074,2,0.0515
test1190,2,0.0249
test1470,2,0.0083
test0212,2,0.0109
test0663,2,0.0183
test0743,2,0.0182
test0477,2,0.0292
test1402,2,0.0797
test0336,2,0.0487
test0601,2,0.0689
test0337,2,0.0602
test0076,2,0.0096
test1144,2,0.0522
test1178,2,0.0832
test0182,2,0.0086
test0651,2,0.044
test0857,2,0.0224
test1055,2,0.0464
test0217,2,0.004
test1300,2,0.0011
test0360,2,0.0509
test1134,2,0.0123
test1285,2,0.0739
test0147,2,0.0437
test0908,2,0.0467
test0752,2,0.0348
test1090,2,0.0762
test0903,2,0.0033
test1378,2,0.028
test1365,2,0.0571
test1182,2,0.0436
test0733,2,0.0831
test1066,2,0.0524
test1427,2,0.005
test0420,2,0.0873
test1290,2,0.0748
test0865,2,0.0103
test1219,2,0.0798
test0700,2,0.0553
test1243,2,0.0713
test0237,2,0.0248
test1408,2,0.0434
test0828,2,0.0062
test0357,2,0.0186
test0676,2,0.0142
test0746,2,0.0637
test1458,2,0.0035
test0097,2,0.0486
test0270,2,0.0127
test0290,2,0.017
test1048,2,0.1014
test0034,2,0.0572
test1380,2,0.0066
test0686,2,0.0015
test0347,2,0.0264
test0644,2,0.0317
test1170,2,0.0086
test1496,2,0.0021
test0160,2,0.0198
test0361,2,0.0192
test0314,2,0.0184
test0180,2,0.0234
test1209,2,0.0456
test0429,2,0.03
test1179,2,0.0126
test0856,2,0.0071
test0559,2,0.0017
test0111,2,0.0639
test1081,2,0.0977
test0931,2,0.0359
test0726,2,0.023
test0414,2,0.0326
test1447,2,0.0853
test1123,2,0.0912
test0646,2,0.0032
test0220,2,0.002
test0846,2,0.0317
test1239,2,0.0599
test0602,2,0.0026
test1399,2,0.0122
test0704,2,0.0258
test0179,2,0.0415
test0177,2,0.0247
test0070,2,0.0159
test0412,2,0.0755
test1291,2,0.0476
test1389,2,0.0472
test0744,2,0.0035
test1459,2,0.0786
test0708,2,0.047
test0468,2,0.0725
test1454,2,0.0022
test0245,2,0.0184
test0978,2,0.0629
test0373,2,0.0015
test0821,2,0.0763
test0004,2,0.0267
test0618,2,0.0517
test1418,2,0.0105
test0692,2,0.0138
test0101,2,0.0704
test0973,2,0.0013
test1120,2,0.0394
test0455,2,0.0419
test0935,2,0.0055
test0634,2,0.0226
test1397,2,0.0473
test0174,2,0.0117
test0071,2,0.0417
test1195,2,0.0623
test0751,2,0.0476
test0777,2,0.0299
test1281,2,0.0041
test0719,2,0.0308
test0768,2,0.0478
test0552,2,0.0096
test0043,2,0.0183
test0696,2,0.0146
test1022,2,0.0199
test0298,2,0.0995
test0371,2,0.0413
test1114,2,0.0197
test0370,2,0.0348
test0092,2,0.0473
test0588,2,0.0155
test1307,2,0.1195
test1180,2,0.1164
test0905,2,0.0175
test1263,2,0.0384
test0915,2,0.0662
test0291,2,0.0469
test0142,2,0.1002
test0685,2,0.011
test0622,2,0.0022
test0334,2,0.0454
test1347,2,0.0149
test1229,2,0.0197
test0450,2,0.0238
test0780,2,0.0041
test0108,2,0.1133
test0842,2,0.0324
test0589,2,0.0635
test0262,2,0.023
test0990,2,0.0024
test1252,2,0.0317
test0951,2,0.0019
test0511,2,0.0082
test1244,2,0.0152
test0820,2,0.0018
test0437,2,0.0047
test1174,2,0.075
test1269,2,0.0666
test0972,2,0.0067
test0613,2,0.0489
test0992,2,0.0153
test1351,2,0.0148
test0005,2,0.0629
test0572,2,0.0785
test0338,2,0.0032
test0855,2,0.0496
test1156,2,0.0362
test0802,2,0.0034
test1224,2,0.0097
test1021,2,0.0304
test0783,2,0.032
test0551,2,0.0338
test0348,2,0.0028
test0120,2,0.0862
test0680,2,0.0008
test0741,2,0.026
test0443,2,0.0088
test1366,2,0.0433
test1140,2,0.026
test0315,2,0.0346
test0425,2,0.0102
test0354,2,0.0241
test0446,2,0.0387
test0344,2,0.0022
test0917,2,0.0279
test0013,2,0.1406
test1413,2,0.0039
test0691,2,0.0017
test0697,2,0.0106
test0017,2,0.0349
test0789,2,0.0416
test0161,2,0.0595
test0776,2,0.0457
test0103,2,0.0035
test0432,2,0.0452
test0927,2,0.0062
test0172,2,0.0014
test0173,2,0.0427
test1306,2,0.0595
test0372,2,0.0272
test1254,2,0.0139
test0540,2,0.0941
test0129,2,0.0014
test0762,2,0.0223
test0292,2,0.0184
test0888,2,0.0636
test0553,2,0.0218
test0312,2,0.0687
test0611,2,0.0874
test1057,2,0.0059
test0154,2,0.1004
test0242,2,0.0484
test0632,2,0.0033
test0969,2,0.0009
test0259,2,0.0219
test0880,2,0.0195
test0689,2,0.0015
test0239,2,0.0298
test0205,2,0.0133
test0911,2,0.0298
test0764,2,0.003
test1013,2,0.0444
test1188,2,0.1147
test0431,2,0.0172
test0218,2,0.0459
test0138,2,0.1156
test0580,2,0.0237
test0710,2,0.0209
test0367,2,0.0382
test1247,2,0.0369
test0756,2,0.0279
test1196,2,0.0366
test0872,2,0.158
test0168,2,0.0624
test1420,2,0.1618
test0757,2,0.1005
test0505,2,0.1842
test0001,2,0.002
test0116,2,0.0736
test1059,2,0.0408
test1364,2,0.0526
test0499,2,0.1041
test0669,2,0.0901
test0722,2,0.0867
test0703,2,0.0437
test0426,2,0.0017
test0522,2,0.0068
test1034,2,0.0545
test1463,2,0.0641
test0564,2,0.0118
test0472,2,0.0181
test0345,2,0.0042
test0971,2,0.0856
test1451,2,0.1143
test0300,2,0.1608
test0427,2,0.0014
test1293,2,0.1104
test1392,2,0.1245
test0797,2,0.0406
test0763,2,0.0816
test0571,2,0.0087
test0221,2,0.1306
test0758,2,0.0529
test0620,2,0.0841
test1046,2,0.0039
test0721,2,0.0094
test0871,2,0.0757
test0018,2,0.0145
test1007,2,0.0028
test1236,2,0.0786
test0806,2,0.1525
test0267,2,0.0032
test1023,2,0.0153
test0219,2,0.044
test0397,2,0.15
test1008,2,0.0788
test0415,2,0.0493
test0356,2,0.0217
test1261,2,0.0977
test0678,2,0.0358
test1121,2,0.0089
test0077,2,0.0013
test1031,2,0.0066
test1077,2,0.0012
test0007,2,0.0418
test0829,2,0.0814
test1118,2,0.0486
test0041,2,0.03
test0900,2,0.0848
test0215,2,0.0122
test1012,2,0.0017
test0866,2,0.0265
test1051,2,0.0042
test0666,2,0.011
test1259,2,0.0179
test0930,2,0.0021
test0307,2,0.0285
test0702,2,0.063
test0349,2,0.0185
test0550,2,0.009
test0157,2,0.0411
test0671,2,0.0559
test0233,2,0.0038
test0920,2,0.1003
test0977,2,0.0334
test1446,2,0.0727
test0445,2,0.0047
test0567,2,0.0787
test0694,2,0.0134
test0760,2,0.0386
test0484,2,0.0217
test1173,2,0.029
test1137,2,0.0934
test1376,2,0.0668
test0739,2,0.0066
test0335,2,0.0961
test0945,2,0.0104
test0178,2,0.0255
test1230,2,0.0449
test0490,2,0.0379
test0377,2,0.0257
test1255,2,0.0921
test0591,2,0.0314
test1415,2,0.0714
test0046,2,0.0095
test0928,2,0.0015
test1010,2,0.0069
test0104,2,0.0208
test0394,2,0.1119
test0869,2,0.0055
test0712,2,0.0068
test0541,2,0.0464
test1092,2,0.1244
test0228,2,0.0445
test1337,2,0.0084
test0681,2,0.0342
test0175,2,0.008
test0080,2,0.0235
test0593,2,0.0097
test0488,2,0.0249
test0318,2,0.0981
test1374,2,0.0487
test1091,2,0.0149
test0369,2,0.0298
test0430,2,0.0053
test0747,2,0.0239
test0459,2,0.1316
test0033,2,0.0082
test0313,2,0.0289
test1061,2,0.072
test0873,2,0.0564
test0184,2,0.0048
test0326,2,0.071
test1352,2,0.0253
test1287,2,0.0117
test0458,2,0.0207
test0660,2,0.1199
test0699,2,0.0233
test0006,2,0.004
test0767,2,0.051
test0282,2,0.0901
test0754,2,0.0091
test0362,2,0.0398
test0934,2,0.0038
test0876,2,0.0093
test0599,2,0.1638
test0562,2,0.0182
test0234,2,0.0438
test1422,2,0.049
test0785,2,0.0598
test1237,2,0.0677
test1468,2,0.1124
test0981,2,0.0259
test1107,2,0.0133
test0304,2,0.1111
test0411,2,0.0032
test0385,2,0.0712
test0653,2,0.007
test0961,2,0.0023
test0127,2,0.108
test0718,2,0.0277
test1115,2,0.0856
test1302,2,0.0406
test1044,2,0.1305
test1379,2,0.015
test1387,2,0.0387
test1050,2,0.0482
test0502,2,0.0945
test1036,2,0.0318
test0957,2,0.0421
test0648,2,0.0738
test0495,2,0.0814
test0932,2,0.0084
test1029,2,0.0837
test0525,2,0.0021
test0636,2,0.0455
test0400,2,0.0123
test0368,2,0.1511
test1425,2,0.0761
test0379,2,0.0155
test0363,2,0.0646
test0948,2,0.0672
test0266,2,0.0456
test0235,2,0.0102
test1465,2,0.0649
test0749,2,0.0261
test0875,2,0.001
test1162,2,0.0201
test0227,2,0.0042
test0084,2,0.0082
test0153,2,0.0138
test0295,2,0.108
test0440,2,0.0209
test0545,2,0.0148
test0837,2,0.0401
test0139,2,0.0492
test1167,2,0.0018
test0095,2,0.0618
test0840,2,0.141
test1325,2,0.0061
test0736,2,0.0014
test0616,2,0.0031
test0309,2,0.0362
test0711,2,0.0127
test0518,2,0.0225
test0241,2,0.078
test0090,2,0.0125
test0094,2,0.0624
test0808,2,0.0107
test0162,2,0.0125
test1106,2,0.0419
test0015,2,0.0234
test1350,2,0.133
test0936,2,0.0149
test0590,2,0.0712
test0264,2,0.0481
test0436,2,0.0015
test0020,2,0.0067
test1282,2,0.0029
test1096,2,0.0417
test0959,2,0.0914
test0145,2,0.0981
test0995,2,0.0176
test0099,2,0.0027
test1305,2,0.1468
test0561,2,0.006
test0662,2,0.0139
test0288,2,0.0779
test1211,2,0.1345
test0037,2,0.0981
test0137,2,0.0266
test0213,2,0.0114
test0273,2,0.0079
test0586,2,0.0809
test0504,2,0.0014
test0625,2,0.012
test0297,2,0.0712
test1104,2,0.0854
test0091,2,0.02
test0471,2,0.0871
test0578,2,0.0163
test1359,2,0.0273
test1275,2,0.0141
test1231,2,0.0127
test0753,2,0.026
test0009,2,0.1213
test0659,2,0.0414
test1235,2,0.1236
test1421,2,0.0835
test0287,2,0.1288
test1097,2,0.0105
test0600,2,0.1392
test0925,2,0.0146
test1322,2,0.0014
test0968,2,0.0783
test0812,2,0.0017
test0958,2,0.0154
test0332,2,0.0399
test0051,2,0.0178
test1329,2,0.0009
test1028,2,0.0466
test0381,2,0.0647
test1213,2,0.0255
test1498,2,0.0304
test1419,2,0.0162
test1361,2,0.0124
test1165,2,0.0144
test0038,2,0.0019
test1452,2,0.0285
test0987,2,0.0895
test0251,2,0.0753
test1160,2,0.0269
test0734,2,0.059
test0677,2,0.0633
test0832,2,0.0052
test0194,2,0.0023
test0690,2,0.0203
test1045,2,0.0639
test1370,2,0.0205
test1386,2,0.0239
test0200,2,0.0227
test0673,2,0.0016
test1147,2,0.0186
test1476,2,0.0194
test1164,2,0.0312
test0152,2,0.0561
test0706,2,0.017
test0595,2,0.0117
test0480,2,0.0129
test1088,2,0.0436
test0542,2,0.012
test1199,2,0.0127
test1356,2,0.0423
test1453,2,0.0468
test0823,2,0.002
test0159,2,0.005
test0418,2,0.0185
test1494,2,0.0036
test1294,2,0.053
test1311,2,0.0655
test1225,2,0.0475
test1486,2,0.0548
test0772,2,0.006
test0809,2,0.0427
test0254,2,0.0411
test0325,2,0.0458
test1474,2,0.0129
test0386,2,0.018
test1491,2,0.0299
test0947,2,0.069
test1049,2,0.0069
test0087,2,0.0514
test0066,2,0.0016
test0201,2,0.003
test0275,2,0.0045
test0324,2,0.0561
test0498,2,0.0488
test1127,2,0.0099
test0894,2,0.1406
test0191,2,0.0069
test0346,2,0.1057
test0801,2,0.0681
test1132,2,0.0029
test0943,2,0.0055
test0740,2,0.0499
test1410,2,0.0145
test0999,2,0.0209
test1367,2,0.0453
test0530,2,0.0212
test0989,2,0.0222
test0226,2,0.0084
test0633,2,0.0412
test1278,2,0.0492
test0940,2,0.0113
test1455,2,0.0071
test1437,2,0.0087
test0638,2,0.0595
test0075,2,0.0055
test0965,2,0.0072
test0387,2,0.0209
test0229,2,0.027
test1303,2,0.0227
test1014,2,0.0307
test0489,2,0.0096
test0083,2,0.025
test1400,2,0.0015
test1341,2,0.0364
test1245,2,0.0799
test1217,2,0.0775
test0081,2,0.0797
test1369,2,0.0195
test1438,2,0.025
test0769,2,0.0043
test0044,2,0.0087
test1467,2,0.0236
test1142,2,0.0226
test1216,2,0.102
test1390,2,0.0475
test1016,2,0.0323
test0592,2,0.0605
test0047,2,0.0086
test0181,2,0.0124
test0115,2,0.0468
test1017,2,0.0113
test1060,2,0.0663
test1358,2,0.0489
test0010,2,0.0247
test1304,2,0.0173
test0064,2,0.0191
test0603,2,0.0372
test0667,2,0.0033
test1405,2,0.1059
test0851,2,0.0416
test0569,2,0.1407
test0464,2,0.1082
test0641,2,0.0335
test0732,2,0.0375
test1223,2,0.0703
test0882,2,0.0023
test0169,2,0.0038
test1103,2,0.0114
test1412,2,0.0044
test0949,2,0.1002
test0238,2,0.0384
test0203,2,0.0207
test0423,2,0.0631
test0012,2,0.0222
test0045,2,0.0283
test1079,2,0.015
test0805,2,0.0031
test1068,2,0.0144
test0819,2,0.0151
test0479,2,0.0426
test0670,2,0.0901
test0192,2,0.0223
test0364,2,0.0135
test0997,2,0.0497
test1472,2,0.0173
test1326,2,0.0174
test1141,2,0.0517
test0605,2,0.0013
test1128,2,0.0461
test1334,2,0.0831
test1357,2,0.0121
test0257,2,0.006
test0167,2,0.0013
test0654,2,0.0374
test1464,2,0.003
test1150,2,0.057
test1283,2,0.0044
test1297,2,0.0077
test0453,2,0.0068
test0547,2,0.0579
test0109,2,0.0747
test1117,2,0.0152
test1343,2,0.1014
test0294,2,0.055
test0283,2,0.0887
test1202,2,0.0421
test1274,2,0.0102
test0713,2,0.0137
test0214,2,0.0064
test1171,2,0.0212
test0475,2,0.0536
test0693,2,0.0252
test1429,2,0.0606
test0728,2,0.0652
test0985,2,0.0383
test0244,2,0.0013
test1043,2,0.068
test0243,2,0.0138
test1095,2,0.0501
test0786,2,0.0406
test0462,2,0.0313
test0054,2,0.0282
test1381,2,0.0758
test1338,2,0.0568
test0924,2,0.0067
test0668,2,0.0161
test1207,2,0.0252
test1469,2,0.0378
test0674,2,0.0398
test0956,2,0.057
test0938,2,0.0019
test1360,2,0.0044
test0941,2,0.0519
test0232,2,0.0027
test0868,2,0.0118
test1172,2,0.0031
test1186,2,0.0041
test1309,2,0.0493
test0942,2,0.0025
test0284,2,0.0789
test0141,2,0.0033
test1102,2,0.0239
test0513,2,0.0414
test1227,2,0.0093
test0684,2,0.0717
test1480,2,0.0344
test0493,2,0.0366
test0189,2,0.0458
test0824,2,0.0774
test1406,2,0.0596
test1332,2,0.0332
test0791,2,0.0196
test1201,2,0.1198
test0642,2,0.0549
test0950,2,0.0364
test0216,2,0.0032
test1242,2,0.0286
test0771,2,0.1483
test0723,2,0.0543
test0035,2,0.0035
test1185,2,0.1353
test0388,2,0.0394
test1116,2,0.0262
test0236,2,0.0112
test0963,2,0.0112
test1042,2,0.0064
test0246,2,0.1053
test0661,2,0.0495
test0639,2,0.0596
test0577,2,0.0041
test1063,2,0.0242
test0085,2,0.0455
test1401,2,0.0802
test0433,2,0.012
test1442,2,0.0937
test0515,2,0.0242
test0424,2,0.0624
test0072,2,0.0226
test1411,2,0.124
test0531,2,0.0579
test1445,2,0.1243
test1391,2,0.0365
test0853,2,0.0566
test0068,2,0.0971
test0520,2,0.0299
test0804,2,0.0057
test0815,2,0.0129
test0166,2,0.0231
test0058,2,0.0069
test1228,2,0.0087
test0967,2,0.0911
test0451,2,0.0114
test0321,2,0.0237
test0057,2,0.012
test1206,2,0.0255
test1070,2,0.0019
test0709,2,0.0026
test0024,2,0.0232
test0839,2,0.1036
test1204,2,0.0087
test0598,2,0.0659
test0206,2,0.0269
test1280,2,0.0018
test0655,2,0.0625
test0403,2,0.0755
test0281,2,0.0765
test0156,2,0.0096
