File,Gamma,DC
test1483,2,515
test0878,2,65
test1404,2,27
test0250,2,112
test1428,2,644
test0223,2,616
test0032,2,66
test0773,2,329
test1440,2,599
test0885,2,205
test0196,2,548
test0454,2,317
test1268,2,154
test0937,2,347
test0240,2,65
test1053,2,197
test0539,2,340
test1375,2,254
test0438,2,553
test0727,2,212
test0891,2,400
test0907,2,600
test0672,2,6
test0463,2,58
test0056,2,306
test0466,2,1021
test1177,2,32
test1439,2,10
test0208,2,9
test0503,2,101
test0560,2,132
test0850,2,85
test0864,2,939
test1279,2,63
test1003,2,457
test0021,2,202
test1312,2,804
test0923,2,96
test1041,2,415
test0501,2,65
test0926,2,201
test1495,2,603
test1175,2,396
test0863,2,447
test0456,2,46
test0048,2,379
test0881,2,569
test0199,2,521
test1475,2,985
test0579,2,224
test0830,2,187
test0036,2,195
test0105,2,450
test0874,2,104
test0983,2,193
test1377,2,488
test0701,2,845
test1450,2,816
test1310,2,118
test0953,2,258
test0301,2,357
test0365,2,52
test0698,2,4
test0627,2,331
test1267,2,297
test0574,2,673
test0393,2,179
test0724,2,54
test0679,2,441
test1363,2,360
test0255,2,916
test1320,2,56
test0902,2,152
test1030,2,49
test1272,2,151
test0979,2,96
test1289,2,204
test1373,2,627
test1403,2,314
test1328,2,121
test0408,2,209
test1222,2,146
test1336,2,378
test1113,2,543
test0664,2,256
test0631,2,603
test1266,2,283
test0584,2,339
test0025,2,243
test0323,2,846
test0612,2,6
test1119,2,412
test1484,2,227
test0906,2,322
test0556,2,392
test1253,2,40
test0209,2,113
test0279,2,218
test1220,2,610
test0610,2,533
test0568,2,351
test0469,2,283
test0106,2,61
test0310,2,495
test1011,2,511
test0810,2,37
test0720,2,271
test0759,2,164
test0656,2,378
test0155,2,4
test0725,2,332
test1093,2,240
test0970,2,62
test1249,2,183
test0893,2,6
test0019,2,420
test0688,2,6
test0792,2,780
test0113,2,23
test0331,2,215
test0119,2,5
test0716,2,924
test1109,2,222
test1409,2,303
test1169,2,123
test0929,2,221
test0859,2,66
test1153,2,712
test0011,2,355
test0150,2,534
test0197,2,87
test0742,2,258
test0993,2,48
test0884,2,184
test0775,2,47
test1372,2,8
test0442,2,119
test0496,2,55
test1069,2,8
test1345,2,352
test0913,2,250
test0452,2,396
test0481,2,328
test1276,2,620
test0183,2,195
test1166,2,565
test1398,2,911
test0707,2,793
test1299,2,252
test0998,2,8
test1471,2,846
test0606,2,110
test0225,2,109
test0110,2,367
test1383,2,100
test0717,2,502
test0836,2,30
test0171,2,742
test0890,2,999
test1346,2,391
test0112,2,192
test0088,2,228
test1084,2,482
test0766,2,429
test1203,2,64
test0526,2,332
test0523,2,163
test0790,2,116
test0089,2,244
test0782,2,367
test0912,2,478
test0355,2,408
test1200,2,212
test1321,2,945
test0399,2,462
test0327,2,42
test0302,2,300
test0955,2,144
test0000,2,42
test0558,2,535
test0352,2,30
test1479,2,633
test0514,2,586
test0074,2,431
test1190,2,262
test1470,2,49
test0212,2,60
test0663,2,244
test0743,2,118
test0477,2,348
test1402,2,625
test0336,2,297
test0601,2,620
test0337,2,587
test0076,2,50
test1144,2,475
test1178,2,706
test0182,2,49
test0651,2,419
test0857,2,147
test1055,2,308
test0217,2,5
test1300,2,9
test0360,2,412
test1134,2,147
test1285,2,654
test0147,2,377
test0908,2,456
test0752,2,370
test1090,2,493
test0903,2,29
test1378,2,196
test1365,2,520
test1182,2,309
test0733,2,557
test1066,2,367
test1427,2,41
test0420,2,721
test1290,2,476
test0865,2,95
test1219,2,491
test0700,2,494
test1243,2,618
test0237,2,196
test1408,2,336
test0828,2,47
test0357,2,193
test0676,2,106
test0746,2,506
test1458,2,8
test0097,2,444
test0270,2,127
test0290,2,222
test1048,2,812
test0034,2,544
test1380,2,59
test0686,2,17
test0347,2,194
test0644,2,221
test1170,2,129
test1496,2,24
test0160,2,275
test0361,2,157
test0314,2,178
test0180,2,52
test1209,2,276
test0429,2,381
test1179,2,97
test0856,2,73
test0559,2,7
test0111,2,609
test1081,2,649
test0931,2,302
test0726,2,231
test0414,2,226
test1447,2,665
test1123,2,812
test0646,2,6
test0220,2,8
test0846,2,422
test1239,2,542
test0602,2,10
test1399,2,103
test0704,2,217
test0179,2,304
test0177,2,194
test0070,2,206
test0412,2,618
test1291,2,337
test1389,2,370
test0744,2,7
test1459,2,729
test0708,2,327
test0468,2,637
test1454,2,11
test0245,2,108
test0978,2,458
test0373,2,8
test0821,2,514
test0004,2,280
test0618,2,428
test1418,2,108
test0692,2,165
test0101,2,564
test0973,2,8
test1120,2,313
test0455,2,406
test0935,2,61
test0634,2,307
test1397,2,367
test0174,2,194
test0071,2,308
test1195,2,402
test0751,2,586
test0777,2,285
test1281,2,38
test0719,2,198
test0768,2,326
test0552,2,58
test0043,2,155
test0696,2,115
test1022,2,161
test0298,2,636
test0371,2,288
test1114,2,204
test0370,2,395
test0092,2,488
test0588,2,188
test1307,2,725
test1180,2,968
test0905,2,106
test1263,2,372
test0915,2,687
test0291,2,433
test0142,2,838
test0685,2,61
test0622,2,6
test0334,2,316
test1347,2,253
test1229,2,129
test0450,2,215
test0780,2,40
test0108,2,760
test0842,2,287
test0589,2,473
test0262,2,176
test0990,2,6
test1252,2,247
test0951,2,20
test0511,2,109
test1244,2,166
test0820,2,8
test0437,2,4
test1174,2,607
test1269,2,495
test0972,2,50
test0613,2,381
test0992,2,206
test1351,2,157
test0005,2,527
test0572,2,528
test0338,2,33
test0855,2,442
test1156,2,294
test0802,2,9
test1224,2,55
test1021,2,219
test0783,2,247
test0551,2,342
test0348,2,20
test0120,2,785
test0680,2,4
test0741,2,279
test0443,2,132
test1366,2,221
test1140,2,180
test0315,2,223
test0425,2,101
test0354,2,176
test0446,2,249
test0344,2,6
test0917,2,250
test0013,2,898
test1413,2,8
test0691,2,9
test0697,2,93
test0017,2,202
test0789,2,364
test0161,2,581
test0776,2,306
test0103,2,7
test0432,2,472
test0927,2,60
test0172,2,7
test0173,2,447
test1306,2,480
test0372,2,201
test1254,2,102
test0540,2,732
test0129,2,8
test0762,2,304
test0292,2,163
test0888,2,653
test0553,2,146
test0312,2,461
test0611,2,589
test1057,2,46
test0154,2,693
test0242,2,431
test0632,2,8
test0969,2,9
test0259,2,168
test0880,2,144
test0689,2,8
test0239,2,303
test0205,2,160
test0911,2,396
test0764,2,5
test1013,2,221
test1188,2,798
test0431,2,200
test0218,2,354
test0138,2,760
test0580,2,229
test0710,2,153
test0367,2,303
test1247,2,237
test0756,2,332
test1196,2,128
test0872,2,834
test0168,2,415
test1420,2,731
test0757,2,387
test0505,2,511
test0001,2,7
test0116,2,292
test1059,2,169
test1364,2,234
test0499,2,336
test0669,2,283
test0722,2,561
test0703,2,375
test0426,2,8
test0522,2,38
test1034,2,391
test1463,2,260
test0564,2,58
test0472,2,103
test0345,2,6
test0971,2,438
test1451,2,577
test0300,2,740
test0427,2,4
test1293,2,420
test1392,2,395
test0797,2,226
test0763,2,363
test0571,2,7
test0221,2,752
test0758,2,289
test0620,2,545
test1046,2,6
test0721,2,57
test0871,2,686
test0018,2,94
test1007,2,8
test1236,2,393
test0806,2,657
test0267,2,16
test1023,2,130
test0219,2,219
test0397,2,901
test1008,2,417
test0415,2,133
test0356,2,117
test1261,2,762
test0678,2,416
test1121,2,58
test0077,2,4
test1031,2,95
test1077,2,6
test0007,2,387
test0829,2,523
test1118,2,289
test0041,2,321
test0900,2,664
test0215,2,77
test1012,2,7
test0866,2,192
test1051,2,34
test0666,2,113
test1259,2,110
test0930,2,18
test0307,2,250
test0702,2,446
test0349,2,233
test0550,2,51
test0157,2,215
test0671,2,604
