File,Gamma,DC
test1250,2,0.0168
test0258,2,0.0028
test0474,2,0.0619
test0299,2,0.0321
test0406,2,0.0436
test1298,2,0.0033
test0922,2,0.0043
test0626,2,0.031
test1015,2,0.0378
test1388,2,0.0055
test1301,2,0.0152
test1168,2,0.062
test1198,2,0.0597
test0952,2,0.0656
test1424,2,0.0013
test1082,2,0.0088
test0779,2,0.027
test1125,2,0.0095
test1192,2,0.0182
test0557,2,0.0067
test0086,2,0.0042
test1135,2,0.0087
test0554,2,0.0489
test1460,2,0.0411
test0407,2,0.0061
test1126,2,0.1184
test0073,2,0.0451
test0351,2,0.0344
test0375,2,0.0373
test0748,2,0.0222
test1481,2,0.0033
test0060,2,0.0009
test1083,2,0.0039
test0396,2,0.1033
test1019,2,0.0303
test1124,2,0.0905
test1038,2,0.0782
test0207,2,0.085
test1155,2,0.0031
test0023,2,0.0274
test0986,2,0.0049
test0029,2,0.0028
test0887,2,0.0134
test0395,2,0.006
test0285,2,0.007
test1443,2,0.0553
test0500,2,0.05
test1018,2,0.0392
test1354,2,0.0338
test1396,2,0.0602
test0774,2,0.0171
test0419,2,0.0072
test1492,2,0.0101
test0889,2,0.0128
test0901,2,0.0025
test1056,2,0.0206
test0444,2,0.0718
test1000,2,0.0211
test0164,2,0.0092
test0544,2,0.1215
test1136,2,0.0906
test0976,2,0.0057
test0974,2,0.0017
test0422,2,0.0179
test1064,2,0.0142
test0447,2,0.005
test0342,2,0.0926
test0731,2,0.0261
test1477,2,0.0092
test0030,2,0.0115
test0845,2,0.0278
test0187,2,0.0013
test0619,2,0.096
test0053,2,0.1106
test1333,2,0.0353
test0621,2,0.074
test1073,2,0.0173
test0921,2,0.0089
test0176,2,0.0134
test1143,2,0.0093
test0136,2,0.0714
test0897,2,0.012
test0467,2,0.0292
test1024,2,0.0134
test0628,2,0.0007
test0596,2,0.0013
test0657,2,0.0012
test0509,2,0.0027
test1208,2,0.0058
test0730,2,0.0279
test1277,2,0.0101
test0061,2,0.0561
test0185,2,0.0184
test0293,2,0.0102
test0461,2,0.0847
test0248,2,0.0446
test1488,2,0.0714
test1489,2,0.0904
test0665,2,0.0614
test1355,2,0.0039
test0966,2,0.0019
test0796,2,0.08
test0573,2,0.0516
test0566,2,0.0413
test0575,2,0.0064
test0825,2,0.0803
test1006,2,0.0484
test1430,2,0.0164
test0510,2,0.1063
test0131,2,0.0027
test1499,2,0.1293
test0286,2,0.0017
test1233,2,0.0166
test1072,2,0.0321
test0224,2,0.0253
test0409,2,0.0074
test0623,2,0.0005
test1157,2,0.0658
test0770,2,0.0028
test0341,2,0.028
test1426,2,0.0201
test0899,2,0.05
test1271,2,0.0081
test1238,2,0.0122
test1234,2,0.0396
test1112,2,0.0249
test0374,2,0.003
test0975,2,0.0346
test1027,2,0.0725
test1448,2,0.0953
test0532,2,0.0054
test0535,2,0.0587
test1085,2,0.0296
test1075,2,0.1802
test1330,2,0.0167
test1152,2,0.0084
test0630,2,0.0272
test1461,2,0.0302
test0933,2,0.0066
test0165,2,0.0466
test1232,2,0.1293
test1384,2,0.0467
test0389,2,0.0128
test1432,2,0.0848
test1131,2,0.0052
test1457,2,0.031
test1342,2,0.0971
test1482,2,0.027
test1197,2,0.0088
test1485,2,0.0843
test0960,2,0.0065
test0852,2,0.0228
test0831,2,0.0493
test0962,2,0.064
test0252,2,0.0019
test0614,2,0.0241
test1151,2,0.0239
test0854,2,0.0369
test0069,2,0.005
test0260,2,0.1233
test1025,2,0.0208
test0549,2,0.0128
test1371,2,0.0519
test0813,2,0.0203
test0645,2,0.0063
test0003,2,0.0851
test1348,2,0.0062
test0585,2,0.0051
test0031,2,0.0163
test0316,2,0.029
test0735,2,0.0041
test1473,2,0.0101
test0042,2,0.0012
test0274,2,0.0361
test0524,2,0.0663
test0914,2,0.0904
test0311,2,0.0228
test1111,2,0.0368
test0263,2,0.1127
test0413,2,0.0168
test0195,2,0.0184
test1181,2,0.001
test0026,2,0.0241
test0278,2,0.0223
test0848,2,0.0081
test0122,2,0.0029
test0392,2,0.0011
test0132,2,0.0353
test0055,2,0.0282
test0896,2,0.0537
test1187,2,0.0955
test1433,2,0.1042
test0750,2,0.074
test0629,2,0.0013
test0761,2,0.0059
test1296,2,0.0278
test0904,2,0.0015
test1130,2,0.0016
test0787,2,0.0421
test1214,2,0.0127
test0822,2,0.052
test1062,2,0.021
test1313,2,0.0368
test0211,2,0.0575
test0082,2,0.0561
test0359,2,0.1178
test0079,2,0.0095
test1037,2,0.0023
test1193,2,0.0701
test0144,2,0.0087
test0485,2,0.0125
test1340,2,0.0014
test1483,2,0.0412
test0878,2,0.0081
test1404,2,0.0017
test0250,2,0.0129
test1428,2,0.0944
test0223,2,0.082
test0032,2,0.0103
test0773,2,0.0201
test1440,2,0.0484
test0885,2,0.0146
test0196,2,0.0426
test0454,2,0.0346
test1268,2,0.0237
test0937,2,0.0542
test0240,2,0.0131
test1053,2,0.0256
test0539,2,0.0257
test1375,2,0.0308
test0438,2,0.0731
test0727,2,0.0354
test0891,2,0.0232
test0907,2,0.0896
test0672,2,0.0056
test0463,2,0.0068
test0056,2,0.0425
test0466,2,0.0938
test1177,2,0.0024
test1439,2,0.0037
test0208,2,0.001
test0503,2,0.0138
test0560,2,0.0247
test0850,2,0.0085
test0864,2,0.2061
test1279,2,0.0166
test1003,2,0.0734
test0021,2,0.0212
test1312,2,0.1855
test0923,2,0.0233
test1041,2,0.0884
test0501,2,0.0073
test0926,2,0.031
test1495,2,0.1148
test1175,2,0.0871
test0863,2,0.0634
test0456,2,0.0108
test0048,2,0.0572
